touch_id,customer_id,campaign_id,channel,send_date,offer_pct,opened,clicked,converted_within_7d,treatment_group,cost
M0000067,C00007,CMP015,Paid Social,2026-05-31 00:00:00,20,False,False,False,Treatment,0.85
M0000068,C00007,CMP012,Direct Mail,2026-02-10 00:00:00,20,False,False,False,Control,0.72
M0000069,C00008,CMP009,Paid Social,2025-11-20 00:00:00,25,True,True,False,Control,0.85
M0000070,C00008,CMP003,Direct Mail,2025-08-12 00:00:00,20,False,False,False,Control,0.72
M0000071,C00008,CMP016,Affiliate,2025-07-21 00:00:00,10,True,False,False,Treatment,1.5
M0000072,C00008,CMP008,Direct Mail,2026-02-07 00:00:00,5,False,False,False,Treatment,0.72
M0000073,C00008,CMP003,Paid Social,2026-04-26 00:00:00,15,False,False,False,Treatment,0.85
M0000074,C00009,CMP016,Affiliate,2025-09-23 00:00:00,15,False,False,False,Treatment,1.5
M0000075,C00009,CMP006,Affiliate,2026-01-24 00:00:00,5,False,False,False,Treatment,1.5
M0000076,C00009,CMP011,Direct Mail,2024-04-21 00:00:00,0,False,False,False,Treatment,0.72
M0000077,C00009,CMP018,Paid Search,2025-02-01 00:00:00,5,True,True,False,Treatment,1.2
M0000078,C00009,CMP009,Paid Search,2024-04-13 00:00:00,0,False,False,False,Treatment,1.2
M0000079,C00009,CMP004,Paid Search,2024-09-16 00:00:00,25,True,False,False,Control,1.2
M0000080,C00009,CMP025,Affiliate,2024-09-19 00:00:00,0,True,False,False,Treatment,1.5
M0000081,C00009,CMP016,Push,2024-11-08 00:00:00,25,True,False,False,Treatment,0.005
M0000082,C00010,CMP013,Direct Mail,2026-05-23 00:00:00,20,False,False,True,Control,0.72
M0000083,C00010,CMP001,Affiliate,2025-03-10 00:00:00,20,True,False,False,Treatment,1.5
M0000084,C00010,CMP017,Paid Social,2026-04-27 00:00:00,10,False,False,False,Treatment,0.85
M0000085,C00010,CMP015,Push,2026-04-19 00:00:00,15,False,False,False,Control,0.005
M0000086,C00010,CMP021,Push,2025-12-10 00:00:00,15,True,False,False,Treatment,0.005
M0000087,C00010,CMP016,Paid Social,2025-06-11 00:00:00,15,False,False,True,Treatment,0.85
M0000088,C00010,CMP025,Affiliate,2026-02-23 00:00:00,10,False,False,False,Treatment,1.5
M0000089,C00010,CMP023,Paid Search,2025-07-27 00:00:00,25,False,False,True,Treatment,1.2
M0000090,C00011,CMP001,Direct Mail,2026-06-23 00:00:00,0,False,False,False,Control,0.72
M0000091,C00011,CMP013,Push,2026-05-24 00:00:00,25,False,False,False,Treatment,0.005
M0000092,C00011,CMP020,Affiliate,2026-04-12 00:00:00,5,True,True,True,Treatment,1.5
M0000093,C00011,CMP004,Direct Mail,2026-01-08 00:00:00,10,False,False,False,Treatment,0.72
M0000094,C00012,CMP015,Paid Search,2026-04-01 00:00:00,25,True,False,False,Treatment,1.2
M0000095,C00012,CMP002,Affiliate,2026-01-26 00:00:00,20,True,False,False,Control,1.5
M0000096,C00012,CMP023,Paid Search,2026-05-01 00:00:00,10,True,True,False,Treatment,1.2
M0000097,C00012,CMP005,Paid Search,2025-08-19 00:00:00,20,True,False,False,Treatment,1.2
M0000098,C00012,CMP024,Affiliate,2025-12-07 00:00:00,0,False,False,False,Treatment,1.5
M0000099,C00012,CMP014,Paid Search,2025-08-30 00:00:00,0,True,True,False,Treatment,1.2
M0000100,C00012,CMP015,Push,2025-09-20 00:00:00,20,True,True,False,Treatment,0.005
M0000101,C00012,CMP008,Paid Social,2025-11-19 00:00:00,20,False,False,False,Treatment,0.85
M0000102,C00012,CMP010,Push,2026-05-30 00:00:00,25,True,False,False,Treatment,0.005
M0000103,C00012,CMP019,Email,2026-04-17 00:00:00,15,True,True,False,Treatment,0.01
M0000104,C00012,CMP017,Paid Search,2026-05-15 00:00:00,20,True,True,False,Treatment,1.2
M0000105,C00012,CMP007,Affiliate,2026-03-23 00:00:00,15,False,False,False,Treatment,1.5
M0000106,C00012,CMP016,Paid Search,2026-03-23 00:00:00,0,False,False,False,Treatment,1.2
M0000107,C00013,CMP011,Paid Social,2026-02-24 00:00:00,25,False,False,False,Treatment,0.85
M0000108,C00013,CMP015,Paid Search,2025-08-27 00:00:00,25,False,False,False,Treatment,1.2
M0000109,C00013,CMP011,Paid Search,2025-10-31 00:00:00,10,False,False,True,Treatment,1.2
M0000110,C00013,CMP018,Direct Mail,2026-05-25 00:00:00,20,False,False,False,Treatment,0.72
M0000111,C00013,CMP007,Paid Search,2026-05-29 00:00:00,20,False,False,False,Treatment,1.2
M0000112,C00013,CMP002,Paid Search,2026-05-10 00:00:00,15,False,False,False,Treatment,1.2
M0000113,C00013,CMP003,Paid Search,2025-11-12 00:00:00,0,False,False,False,Treatment,1.2
M0000114,C00013,CMP004,Direct Mail,2026-04-22 00:00:00,10,False,False,False,Treatment,0.72
M0000115,C00013,CMP004,Affiliate,2025-09-02 00:00:00,15,False,False,False,Treatment,1.5
M0000116,C00014,CMP021,Paid Search,2025-12-03 00:00:00,15,False,False,False,Treatment,1.2
M0000117,C00014,CMP002,Paid Search,2026-02-12 00:00:00,25,False,False,False,Treatment,1.2
M0000118,C00014,CMP005,Paid Search,2026-06-20 00:00:00,25,True,False,False,Treatment,1.2
M0000119,C00014,CMP021,Email,2025-06-25 00:00:00,20,True,False,False,Treatment,0.01
M0000120,C00014,CMP012,Paid Search,2025-11-04 00:00:00,10,False,False,False,Treatment,1.2
M0000121,C00014,CMP021,Affiliate,2025-12-18 00:00:00,25,False,False,False,Treatment,1.5
M0000122,C00014,CMP011,Push,2025-09-19 00:00:00,5,True,False,False,Treatment,0.005
M0000123,C00015,CMP025,Affiliate,2025-10-14 00:00:00,5,False,False,False,Treatment,1.5
M0000124,C00015,CMP023,Paid Search,2025-12-28 00:00:00,20,True,False,False,Treatment,1.2
M0000125,C00015,CMP002,Direct Mail,2026-01-29 00:00:00,20,False,False,True,Treatment,0.72
M0000126,C00015,CMP009,Paid Search,2026-02-05 00:00:00,25,True,False,False,Treatment,1.2
M0000127,C00015,CMP006,Direct Mail,2026-06-30 00:00:00,15,False,False,False,Treatment,0.72
M0000128,C00015,CMP002,Paid Search,2025-11-17 00:00:00,0,True,False,False,Treatment,1.2
M0000129,C00015,CMP017,Paid Social,2026-06-09 00:00:00,0,True,False,False,Control,0.85
M0000130,C00015,CMP001,Paid Social,2026-04-16 00:00:00,20,False,False,False,Treatment,0.85
M0000131,C00016,CMP004,Affiliate,2026-03-29 00:00:00,25,True,False,False,Treatment,1.5
M0000132,C00016,CMP005,Paid Social,2024-10-07 00:00:00,15,True,True,False,Treatment,0.85
M0000133,C00016,CMP015,Email,2025-02-18 00:00:00,15,True,False,False,Treatment,0.01
M0000134,C00016,CMP019,Paid Social,2025-11-20 00:00:00,5,True,False,False,Treatment,0.85
M0000135,C00016,CMP010,Direct Mail,2025-11-18 00:00:00,25,False,False,False,Treatment,0.72
M0000136,C00016,CMP017,Email,2025-07-03 00:00:00,25,False,False,False,Treatment,0.01
M0000137,C00016,CMP011,Email,2025-10-01 00:00:00,5,True,True,True,Treatment,0.01
M0000138,C00016,CMP003,Paid Social,2024-09-30 00:00:00,15,True,True,False,Treatment,0.85
M0000139,C00017,CMP012,Paid Social,2024-12-27 00:00:00,10,True,False,False,Treatment,0.85
M0000140,C00017,CMP024,Paid Search,2025-06-23 00:00:00,25,False,False,False,Treatment,1.2
M0000141,C00017,CMP012,Paid Social,2026-06-04 00:00:00,10,False,False,False,Treatment,0.85
M0000142,C00017,CMP018,Email,2026-05-09 00:00:00,25,False,False,False,Treatment,0.01
M0000143,C00017,CMP018,Affiliate,2026-05-31 00:00:00,0,True,False,False,Treatment,1.5
M0000144,C00017,CMP010,Push,2025-12-27 00:00:00,10,False,False,False,Control,0.005
M0000145,C00017,CMP016,Direct Mail,2026-01-28 00:00:00,15,False,False,True,Treatment,0.72
M0000146,C00017,CMP006,Paid Search,2025-01-30 00:00:00,10,True,False,True,Treatment,1.2
M0000147,C00017,CMP013,Push,2025-02-02 00:00:00,10,True,True,False,Treatment,0.005
M0000148,C00017,CMP003,Push,2025-04-19 00:00:00,15,False,False,False,Treatment,0.005
M0000149,C00018,CMP001,Email,2026-03-28 00:00:00,10,False,False,False,Treatment,0.01
M0000150,C00018,CMP005,Paid Search,2026-04-22 00:00:00,25,False,False,False,Control,1.2
M0000151,C00018,CMP017,Email,2026-04-18 00:00:00,20,True,False,False,Control,0.01
M0000152,C00018,CMP003,Push,2026-06-05 00:00:00,15,False,False,False,Treatment,0.005
M0000153,C00018,CMP007,Push,2026-03-11 00:00:00,5,True,False,False,Treatment,0.005
M0000154,C00018,CMP016,Direct Mail,2026-02-17 00:00:00,5,False,False,False,Treatment,0.72
M0000155,C00018,CMP024,Push,2026-03-26 00:00:00,15,True,False,False,Treatment,0.005
M0000156,C00018,CMP017,Paid Social,2026-04-06 00:00:00,10,False,False,False,Control,0.85
M0000157,C00019,CMP025,Affiliate,2025-08-02 00:00:00,25,False,False,False,Treatment,1.5
M0000158,C00019,CMP020,Push,2026-06-06 00:00:00,10,False,False,False,Treatment,0.005
M0000159,C00019,CMP016,Push,2024-09-16 00:00:00,10,False,False,False,Treatment,0.005
M0000160,C00020,CMP009,Direct Mail,2026-05-06 00:00:00,15,False,False,False,Treatment,0.72
M0000161,C00020,CMP021,Email,2025-12-23 00:00:00,10,False,False,False,Treatment,0.01
M0000162,C00020,CMP006,Direct Mail,2025-09-29 00:00:00,20,False,False,False,Treatment,0.72
M0000163,C00020,CMP016,Paid Social,2025-03-27 00:00:00,5,True,False,False,Treatment,0.85
M0000164,C00020,CMP018,Paid Search,2025-02-24 00:00:00,5,True,True,False,Treatment,1.2
M0000165,C00021,CMP004,Direct Mail,2026-03-15 00:00:00,0,False,False,False,Treatment,0.72
M0000166,C00021,CMP005,Affiliate,2025-02-14 00:00:00,5,False,False,False,Treatment,1.5
M0000167,C00021,CMP020,Affiliate,2024-09-03 00:00:00,25,True,False,False,Treatment,1.5
M0000168,C00021,CMP019,Push,2025-05-13 00:00:00,25,True,False,False,Treatment,0.005
M0000169,C00021,CMP019,Paid Search,2024-08-08 00:00:00,0,True,True,False,Treatment,1.2
M0000170,C00021,CMP001,Direct Mail,2024-05-26 00:00:00,15,False,False,False,Treatment,0.72
M0000171,C00021,CMP013,Push,2024-11-07 00:00:00,10,False,False,True,Treatment,0.005
M0000172,C00021,CMP005,Paid Social,2024-09-25 00:00:00,25,False,False,False,Treatment,0.85
M0000173,C00021,CMP011,Affiliate,2025-09-22 00:00:00,5,False,False,False,Treatment,1.5
M0000174,C00021,CMP014,Direct Mail,2025-11-18 00:00:00,5,False,False,False,Control,0.72
M0000175,C00022,CMP017,Push,2025-04-20 00:00:00,5,True,False,True,Treatment,0.005
M0000176,C00022,CMP016,Paid Search,2025-04-09 00:00:00,20,False,False,False,Control,1.2
M0000177,C00022,CMP019,Paid Social,2025-03-10 00:00:00,20,True,False,True,Control,0.85
M0000178,C00022,CMP014,Direct Mail,2025-10-31 00:00:00,10,False,False,False,Treatment,0.72
M0000179,C00022,CMP025,Paid Search,2025-10-01 00:00:00,15,True,False,False,Treatment,1.2
M0000180,C00022,CMP002,Direct Mail,2026-06-20 00:00:00,5,False,False,False,Treatment,0.72
M0000181,C00022,CMP015,Paid Social,2025-06-24 00:00:00,0,False,False,False,Treatment,0.85
M0000182,C00022,CMP005,Push,2025-07-22 00:00:00,0,True,True,False,Treatment,0.005
M0000183,C00022,CMP006,Paid Search,2025-03-27 00:00:00,25,False,False,False,Treatment,1.2
M0000184,C00022,CMP016,Paid Social,2025-03-21 00:00:00,25,True,True,False,Treatment,0.85
M0000185,C00022,CMP023,Paid Search,2026-04-27 00:00:00,15,False,False,False,Treatment,1.2
M0000186,C00022,CMP004,Affiliate,2025-11-27 00:00:00,15,True,True,False,Control,1.5
M0000187,C00022,CMP019,Push,2026-06-24 00:00:00,5,True,False,False,Treatment,0.005
M0000188,C00022,CMP004,Push,2026-02-11 00:00:00,10,False,False,False,Treatment,0.005
M0000189,C00023,CMP012,Direct Mail,2026-04-26 00:00:00,10,False,False,False,Treatment,0.72
M0000190,C00023,CMP012,Email,2026-06-12 00:00:00,15,False,False,False,Treatment,0.01
M0000191,C00023,CMP019,Affiliate,2026-03-08 00:00:00,25,True,False,False,Treatment,1.5
M0000192,C00023,CMP008,Paid Social,2025-12-04 00:00:00,20,True,False,False,Treatment,0.85
M0000193,C00023,CMP001,Paid Search,2026-01-14 00:00:00,25,False,False,False,Treatment,1.2
M0000194,C00024,CMP024,Affiliate,2025-12-11 00:00:00,0,True,False,True,Treatment,1.5
M0000195,C00024,CMP004,Email,2026-02-14 00:00:00,0,False,False,False,Treatment,0.01
M0000196,C00024,CMP025,Email,2025-09-04 00:00:00,0,False,False,False,Treatment,0.01
M0000197,C00024,CMP007,Direct Mail,2026-04-18 00:00:00,20,False,False,True,Treatment,0.72
M0000198,C00025,CMP002,Paid Social,2026-06-17 00:00:00,10,False,False,True,Treatment,0.85
M0000199,C00025,CMP007,Email,2026-01-31 00:00:00,5,True,False,False,Treatment,0.01
M0000200,C00025,CMP019,Paid Social,2025-07-11 00:00:00,15,True,True,True,Treatment,0.85
M0000201,C00025,CMP013,Direct Mail,2026-01-22 00:00:00,10,False,False,False,Treatment,0.72
M0000202,C00025,CMP005,Push,2025-11-01 00:00:00,0,True,True,False,Treatment,0.005
M0000203,C00025,CMP019,Email,2025-07-11 00:00:00,0,True,False,False,Treatment,0.01
M0000204,C00025,CMP025,Direct Mail,2026-03-03 00:00:00,10,False,False,True,Treatment,0.72
M0000205,C00025,CMP018,Direct Mail,2026-06-13 00:00:00,20,False,False,False,Treatment,0.72
M0000206,C00025,CMP015,Email,2025-07-13 00:00:00,10,False,False,False,Treatment,0.01
M0000207,C00025,CMP014,Direct Mail,2025-11-04 00:00:00,10,False,False,False,Control,0.72
M0000208,C00025,CMP006,Affiliate,2026-01-10 00:00:00,15,True,False,False,Treatment,1.5
M0000209,C00025,CMP006,Direct Mail,2025-11-07 00:00:00,0,False,False,False,Treatment,0.72
M0000210,C00026,CMP011,Paid Social,2026-02-07 00:00:00,0,False,False,False,Treatment,0.85
M0000211,C00026,CMP015,Push,2025-02-09 00:00:00,5,True,True,False,Treatment,0.005
M0000212,C00026,CMP016,Email,2025-11-08 00:00:00,20,False,False,True,Treatment,0.01
M0000213,C00026,CMP020,Push,2025-12-29 00:00:00,25,True,False,False,Treatment,0.005
M0000214,C00026,CMP006,Direct Mail,2026-06-07 00:00:00,25,False,False,False,Treatment,0.72
M0000215,C00026,CMP017,Paid Search,2025-05-22 00:00:00,20,True,False,False,Treatment,1.2
M0000216,C00026,CMP004,Paid Social,2025-05-16 00:00:00,20,False,False,False,Treatment,0.85
M0000217,C00026,CMP009,Paid Search,2025-05-06 00:00:00,0,False,False,False,Treatment,1.2
M0000218,C00026,CMP012,Email,2025-10-14 00:00:00,20,True,False,False,Control,0.01
M0000219,C00026,CMP024,Paid Social,2026-03-20 00:00:00,5,True,False,False,Treatment,0.85
M0000220,C00026,CMP020,Email,2025-10-15 00:00:00,25,True,False,False,Treatment,0.01
M0000221,C00026,CMP016,Direct Mail,2025-12-09 00:00:00,0,False,False,False,Treatment,0.72
M0000222,C00027,CMP013,Direct Mail,2024-05-14 00:00:00,0,False,False,False,Control,0.72
M0000223,C00027,CMP004,Paid Social,2024-04-10 00:00:00,25,True,True,False,Treatment,0.85
M0000224,C00027,CMP017,Paid Social,2024-05-17 00:00:00,0,True,False,False,Treatment,0.85
M0000225,C00027,CMP011,Email,2025-11-05 00:00:00,0,False,False,False,Treatment,0.01
M0000226,C00027,CMP001,Paid Search,2025-02-02 00:00:00,15,False,False,False,Treatment,1.2
M0000227,C00027,CMP011,Direct Mail,2024-03-15 00:00:00,25,False,False,False,Treatment,0.72
M0000228,C00027,CMP015,Paid Social,2024-05-21 00:00:00,25,False,False,False,Treatment,0.85
M0000229,C00027,CMP025,Paid Search,2024-06-10 00:00:00,10,True,False,False,Treatment,1.2
M0000230,C00027,CMP003,Direct Mail,2024-11-15 00:00:00,25,False,False,False,Treatment,0.72
M0000231,C00028,CMP005,Paid Social,2026-02-05 00:00:00,15,True,False,False,Treatment,0.85
M0000232,C00028,CMP010,Affiliate,2026-06-13 00:00:00,0,True,True,False,Treatment,1.5
M0000233,C00028,CMP017,Email,2025-12-21 00:00:00,15,True,False,True,Treatment,0.01
M0000234,C00028,CMP009,Paid Search,2026-05-04 00:00:00,20,True,False,False,Control,1.2
M0000235,C00028,CMP009,Paid Social,2026-03-21 00:00:00,15,True,True,False,Treatment,0.85
M0000236,C00028,CMP011,Push,2026-06-15 00:00:00,10,True,False,False,Treatment,0.005
M0000237,C00028,CMP023,Paid Search,2025-12-11 00:00:00,10,False,False,False,Control,1.2
M0000238,C00028,CMP021,Direct Mail,2026-04-03 00:00:00,0,False,False,False,Treatment,0.72
M0000239,C00029,CMP001,Direct Mail,2025-01-16 00:00:00,0,False,False,False,Control,0.72
M0000240,C00029,CMP018,Affiliate,2025-11-21 00:00:00,0,False,False,False,Treatment,1.5
M0000241,C00029,CMP013,Direct Mail,2026-04-14 00:00:00,10,False,False,False,Treatment,0.72
M0000242,C00029,CMP011,Affiliate,2025-12-05 00:00:00,0,True,True,False,Treatment,1.5
M0000243,C00029,CMP016,Direct Mail,2025-02-22 00:00:00,10,False,False,False,Treatment,0.72
M0000244,C00029,CMP021,Direct Mail,2025-02-11 00:00:00,5,False,False,False,Treatment,0.72
M0000245,C00029,CMP022,Paid Social,2026-01-27 00:00:00,15,True,False,True,Treatment,0.85
M0000246,C00030,CMP023,Paid Search,2026-05-17 00:00:00,5,True,False,False,Treatment,1.2
M0000247,C00030,CMP001,Email,2025-02-08 00:00:00,20,True,True,False,Treatment,0.01
M0000248,C00030,CMP019,Email,2026-04-22 00:00:00,20,False,False,False,Treatment,0.01
M0000249,C00030,CMP012,Direct Mail,2024-12-18 00:00:00,0,False,False,False,Treatment,0.72
M0000250,C00031,CMP005,Email,2026-03-26 00:00:00,15,False,False,False,Treatment,0.01
M0000251,C00031,CMP013,Paid Search,2026-06-24 00:00:00,15,True,True,False,Control,1.2
M0000252,C00031,CMP012,Paid Search,2025-12-23 00:00:00,0,True,False,False,Control,1.2
M0000253,C00031,CMP021,Direct Mail,2025-10-14 00:00:00,25,False,False,False,Treatment,0.72
M0000254,C00031,CMP020,Push,2026-04-09 00:00:00,20,False,False,False,Treatment,0.005
M0000255,C00031,CMP013,Direct Mail,2026-06-25 00:00:00,25,False,False,False,Treatment,0.72
M0000256,C00031,CMP004,Email,2026-01-07 00:00:00,5,False,False,False,Treatment,0.01
M0000257,C00031,CMP003,Affiliate,2026-03-15 00:00:00,5,True,False,False,Treatment,1.5
M0000258,C00031,CMP007,Paid Social,2026-04-13 00:00:00,25,True,True,False,Treatment,0.85
M0000259,C00031,CMP009,Paid Social,2026-03-21 00:00:00,15,True,True,False,Treatment,0.85
M0000260,C00031,CMP011,Push,2026-02-15 00:00:00,5,True,False,False,Treatment,0.005
M0000261,C00031,CMP006,Direct Mail,2026-01-23 00:00:00,15,False,False,False,Control,0.72
M0000262,C00031,CMP001,Direct Mail,2025-11-16 00:00:00,10,False,False,False,Treatment,0.72
M0000263,C00032,CMP012,Email,2025-10-09 00:00:00,15,True,True,False,Treatment,0.01
M0000264,C00032,CMP011,Email,2026-02-25 00:00:00,20,False,False,False,Treatment,0.01
M0000265,C00032,CMP011,Paid Search,2026-06-11 00:00:00,5,False,False,False,Treatment,1.2
M0000266,C00032,CMP023,Email,2026-05-31 00:00:00,20,False,False,False,Treatment,0.01
M0000267,C00032,CMP013,Affiliate,2026-06-22 00:00:00,25,True,False,False,Treatment,1.5
M0000268,C00032,CMP017,Paid Social,2025-10-08 00:00:00,15,True,False,False,Treatment,0.85
M0000269,C00032,CMP005,Paid Social,2025-08-26 00:00:00,0,False,False,False,Treatment,0.85
M0000270,C00032,CMP007,Email,2025-12-18 00:00:00,0,True,False,False,Treatment,0.01
M0000271,C00032,CMP009,Paid Social,2025-07-22 00:00:00,25,True,False,True,Treatment,0.85
M0000272,C00033,CMP005,Paid Search,2026-06-10 00:00:00,0,False,False,False,Treatment,1.2
M0000273,C00033,CMP008,Push,2025-06-13 00:00:00,0,True,True,False,Treatment,0.005
M0000274,C00034,CMP025,Direct Mail,2025-05-22 00:00:00,15,False,False,False,Treatment,0.72
M0000275,C00034,CMP001,Paid Search,2026-02-06 00:00:00,0,True,False,False,Control,1.2
M0000276,C00034,CMP020,Affiliate,2025-06-23 00:00:00,20,False,False,False,Treatment,1.5
M0000277,C00034,CMP005,Email,2025-02-12 00:00:00,25,False,False,False,Treatment,0.01
M0000278,C00035,CMP008,Push,2025-12-22 00:00:00,10,False,False,False,Treatment,0.005
M0000279,C00035,CMP025,Affiliate,2025-07-24 00:00:00,20,True,False,False,Treatment,1.5
M0000280,C00035,CMP024,Email,2025-10-26 00:00:00,25,True,False,False,Treatment,0.01
M0000281,C00035,CMP009,Email,2025-10-29 00:00:00,15,True,False,False,Treatment,0.01
M0000282,C00035,CMP016,Push,2025-05-31 00:00:00,10,True,False,True,Control,0.005
M0000283,C00035,CMP017,Email,2024-05-06 00:00:00,10,True,False,False,Treatment,0.01
