product_id,category,brand,list_price,unit_cost,margin_pct,launch_date,is_subscription_eligible
P0027,Beauty,BeaBrand1,233.63,94.15,0.597,2024-09-28 00:00:00,False
P0028,Sports,SpoBrand3,337.81,138.84,0.589,2024-07-24 00:00:00,False
P0029,Sports,SpoBrand2,348.34,186.01,0.466,2025-06-13 00:00:00,False
P0030,Pet,PetBrand3,84.85,56.93,0.329,2025-07-21 00:00:00,True
P0031,Pet,PetBrand1,10.46,5.32,0.491,2024-08-22 00:00:00,True
P0032,Electronics,EleBrand1,302.0,238.28,0.211,2024-10-12 00:00:00,False
P0033,Pet,PetBrand3,192.42,96.59,0.498,2025-08-13 00:00:00,False
P0034,Baby,BabBrand1,284.16,209.14,0.264,2025-11-05 00:00:00,True
P0035,Sports,SpoBrand1,148.6,65.38,0.56,2025-11-20 00:00:00,False
P0036,Home,HomBrand1,28.73,14.37,0.5,2024-09-11 00:00:00,False
P0037,Baby,BabBrand2,55.94,41.34,0.261,2024-09-12 00:00:00,False
P0038,Home,HomBrand3,159.55,70.36,0.559,2024-04-10 00:00:00,True
P0039,Electronics,EleBrand1,339.4,139.83,0.588,2024-06-19 00:00:00,False
P0040,Baby,BabBrand1,81.1,52.23,0.356,2024-06-17 00:00:00,True
P0041,Sports,SpoBrand2,98.7,46.88,0.525,2024-10-19 00:00:00,False
P0042,Baby,BabBrand1,60.94,41.99,0.311,2025-08-16 00:00:00,False
P0043,Electronics,EleBrand3,263.81,209.73,0.205,2025-05-03 00:00:00,False
P0044,Beauty,BeaBrand1,27.45,16.39,0.403,2024-03-11 00:00:00,False
P0045,Pet,PetBrand3,146.09,59.31,0.594,2024-09-09 00:00:00,False
P0046,Electronics,EleBrand3,219.83,139.81,0.364,2025-08-01 00:00:00,False
P0047,Apparel,AppBrand1,77.86,39.32,0.495,2024-09-28 00:00:00,False
P0048,Apparel,AppBrand1,164.37,67.56,0.589,2024-01-10 00:00:00,False
P0049,Home,HomBrand2,33.06,24.0,0.274,2024-05-15 00:00:00,False
P0050,Home,HomBrand1,308.71,202.82,0.343,2025-03-24 00:00:00,False
P0051,Apparel,AppBrand3,217.19,83.84,0.614,2025-06-25 00:00:00,True
P0052,Apparel,AppBrand1,326.66,252.83,0.226,2024-09-27 00:00:00,True
P0053,Home,HomBrand2,261.91,196.96,0.248,2025-09-11 00:00:00,False
P0054,Grocery,GroBrand2,77.63,42.0,0.459,2025-06-01 00:00:00,False
P0055,Electronics,EleBrand2,39.57,25.09,0.366,2024-02-15 00:00:00,True
P0056,Beauty,BeaBrand3,225.89,159.25,0.295,2025-03-28 00:00:00,False
P0057,Sports,SpoBrand3,199.83,154.07,0.229,2024-06-01 00:00:00,False
P0058,Grocery,GroBrand1,207.22,156.45,0.245,2024-02-12 00:00:00,True
P0059,Electronics,EleBrand1,315.43,229.63,0.272,2025-11-13 00:00:00,True
P0060,Sports,SpoBrand1,341.05,167.11,0.51,2024-06-15 00:00:00,False
P0061,Beauty,BeaBrand3,309.44,250.34,0.191,2024-12-06 00:00:00,False
P0062,Sports,SpoBrand1,282.36,124.24,0.56,2024-09-30 00:00:00,False
P0063,Home,HomBrand2,138.83,111.48,0.197,2024-08-15 00:00:00,False
P0064,Baby,BabBrand1,127.58,58.56,0.541,2024-08-16 00:00:00,True
P0065,Pet,PetBrand1,144.28,100.56,0.303,2024-10-12 00:00:00,True
P0066,Sports,SpoBrand2,240.4,107.94,0.551,2024-01-29 00:00:00,True
P0067,Apparel,AppBrand2,69.07,27.35,0.604,2024-02-09 00:00:00,True
P0068,Sports,SpoBrand2,126.22,59.83,0.526,2025-09-12 00:00:00,False
P0069,Home,HomBrand2,139.74,79.09,0.434,2024-02-15 00:00:00,False
P0070,Electronics,EleBrand3,185.81,86.4,0.535,2025-11-17 00:00:00,False
P0071,Sports,SpoBrand2,31.93,16.86,0.472,2025-09-30 00:00:00,False
P0072,Home,HomBrand2,254.16,174.86,0.312,2025-11-13 00:00:00,False
P0073,Sports,SpoBrand1,246.45,141.96,0.424,2025-03-06 00:00:00,False
P0074,Sports,SpoBrand3,239.64,101.37,0.577,2025-08-05 00:00:00,False
P0075,Electronics,EleBrand3,111.93,81.49,0.272,2025-09-13 00:00:00,False
P0076,Baby,BabBrand3,159.09,83.2,0.477,2025-04-29 00:00:00,False
P0077,Beauty,BeaBrand3,233.33,162.16,0.305,2025-10-10 00:00:00,False
P0078,Home,HomBrand3,287.9,140.78,0.511,2024-11-13 00:00:00,False
P0079,Pet,PetBrand2,58.4,46.72,0.2,2025-09-17 00:00:00,False
P0080,Home,HomBrand3,163.75,70.41,0.57,2024-07-18 00:00:00,False
