customer_id,signup_date,age,gender,city,state,loyalty_tier,preferred_category,acquisition_channel,email_opt_in,push_opt_in,price_sensitivity_score,digital_engagement_score
C00022,2025-03-01 00:00:00,71,Prefer not to say,Phoenix,AZ,None,Pet,Referral,True,True,0.666,0.939
C00023,2025-07-19 00:00:00,20,Male,Boulder,CO,Silver,Grocery,Organic Search,False,True,0.84,0.391
C00024,2025-06-22 00:00:00,72,Prefer not to say,Scottsdale,AZ,Platinum,Beauty,Direct,True,False,0.674,0.414
C00025,2025-07-08 00:00:00,75,Female,San Jose,CA,None,Pet,Paid Social,True,True,0.607,0.678
C00026,2025-01-18 00:00:00,27,Male,Cambridge,MA,Gold,Sports,Direct,True,True,0.732,0.88
C00027,2024-01-10 00:00:00,62,Non-binary,Phoenix,AZ,None,Beauty,Direct,True,True,0.218,0.407
C00028,2025-12-03 00:00:00,24,Female,San Francisco,CA,None,Baby,Referral,True,True,0.84,0.604
C00029,2024-05-14 00:00:00,48,Non-binary,Houston,TX,None,Grocery,Paid Social,True,True,0.833,0.897
C00030,2024-03-18 00:00:00,55,Prefer not to say,Orlando,FL,None,Pet,Organic Search,True,True,0.554,0.489
C00031,2025-09-26 00:00:00,42,Prefer not to say,Boulder,CO,Silver,Pet,Direct,False,False,0.601,0.797
C00032,2025-07-07 00:00:00,41,Non-binary,Boston,MA,None,Beauty,Referral,True,False,0.608,0.638
C00033,2025-04-10 00:00:00,56,Female,Dallas,TX,None,Electronics,Paid Search,False,True,0.298,0.419
C00034,2024-06-27 00:00:00,25,Female,Dallas,TX,None,Electronics,Referral,True,True,0.15,0.368
C00035,2024-04-21 00:00:00,75,Female,Scottsdale,AZ,Silver,Electronics,Affiliate,True,True,0.544,0.406
C00036,2025-10-01 00:00:00,74,Male,Raleigh,NC,Silver,Grocery,Referral,False,True,0.552,0.811
C00037,2025-04-09 00:00:00,41,Male,Boston,MA,Silver,Home,Affiliate,False,True,0.538,0.709
C00038,2025-11-17 00:00:00,72,Non-binary,Austin,TX,Silver,Sports,Paid Social,True,False,0.795,0.609
C00039,2025-07-28 00:00:00,65,Female,Charlotte,NC,None,Electronics,Direct,True,True,0.684,0.304
C00040,2025-04-09 00:00:00,35,Prefer not to say,Naperville,IL,Gold,Apparel,Referral,True,True,0.591,0.195
C00041,2024-08-08 00:00:00,67,Male,Boulder,CO,Gold,Sports,Paid Social,True,True,0.209,0.683
C00042,2026-02-03 00:00:00,47,Female,Cambridge,MA,Gold,Sports,Affiliate,True,True,0.486,0.348
C00043,2025-10-17 00:00:00,33,Prefer not to say,Cambridge,MA,Silver,Sports,Affiliate,True,False,0.055,0.929
C00044,2026-02-02 00:00:00,34,Male,Chicago,IL,Gold,Beauty,Affiliate,True,False,0.195,0.885
C00045,2024-03-18 00:00:00,58,Non-binary,Orlando,FL,None,Baby,Affiliate,True,True,0.437,0.815
C00046,2024-11-13 00:00:00,68,Female,Scottsdale,AZ,Silver,Electronics,Affiliate,True,True,0.351,0.369
C00047,2025-05-02 00:00:00,46,Male,Boulder,CO,Gold,Electronics,Paid Social,False,True,0.27,0.754
C00048,2024-12-12 00:00:00,39,Female,Charlotte,NC,Platinum,Grocery,Paid Social,True,False,0.137,0.355
C00049,2025-11-09 00:00:00,51,Female,Cambridge,MA,Gold,Home,Affiliate,True,True,0.239,0.51
C00050,2024-07-03 00:00:00,51,Female,Buffalo,NY,Silver,Baby,Affiliate,True,True,0.535,0.708
C00051,2024-06-15 00:00:00,46,Prefer not to say,Orlando,FL,None,Beauty,Referral,True,True,0.288,0.326
C00052,2024-06-14 00:00:00,71,Prefer not to say,New York,NY,None,Beauty,Paid Search,True,False,0.481,0.323
C00053,2024-01-28 00:00:00,71,Prefer not to say,Boston,MA,Platinum,Grocery,Direct,True,True,0.411,0.855
C00054,2024-03-22 00:00:00,68,Prefer not to say,San Jose,CA,Silver,Beauty,Organic Search,True,True,0.511,0.85
C00055,2025-07-02 00:00:00,52,Female,San Francisco,CA,None,Pet,Referral,True,True,0.588,0.738
C00056,2025-01-17 00:00:00,52,Non-binary,Seattle,WA,None,Grocery,Direct,True,False,0.541,0.797
C00057,2025-10-08 00:00:00,43,Prefer not to say,Orlando,FL,None,Home,Organic Search,True,True,0.906,0.814
C00058,2024-12-31 00:00:00,62,Prefer not to say,San Francisco,CA,None,Grocery,Affiliate,True,True,0.403,0.651
C00059,2025-03-10 00:00:00,40,Prefer not to say,Austin,TX,Silver,Beauty,Direct,False,True,0.806,0.526
C00060,2025-03-21 00:00:00,68,Prefer not to say,Seattle,WA,None,Electronics,Paid Search,True,False,0.258,0.86
C00061,2025-01-10 00:00:00,25,Female,Chicago,IL,Silver,Electronics,Referral,True,False,0.401,0.501
C00062,2024-04-30 00:00:00,63,Prefer not to say,Seattle,WA,None,Baby,Direct,False,False,0.241,0.769
C00063,2025-11-14 00:00:00,30,Male,Chicago,IL,None,Apparel,Referral,True,True,0.657,0.643
C00064,2025-01-12 00:00:00,22,Male,Scottsdale,AZ,None,Beauty,Direct,True,True,0.664,0.513
C00065,2025-06-13 00:00:00,30,Non-binary,Chicago,IL,Gold,Beauty,Direct,True,True,0.298,0.62
C00066,2025-05-29 00:00:00,52,Non-binary,Orlando,FL,None,Beauty,Referral,True,False,0.425,0.932
C00067,2025-02-19 00:00:00,40,Prefer not to say,Seattle,WA,Silver,Electronics,Paid Social,True,True,0.304,0.476
C00068,2024-09-04 00:00:00,38,Male,Phoenix,AZ,Gold,Baby,Referral,False,True,0.471,0.733
C00069,2024-11-11 00:00:00,72,Female,Scottsdale,AZ,Platinum,Sports,Paid Search,False,False,0.671,0.256
C00070,2025-02-16 00:00:00,61,Female,Chicago,IL,Platinum,Electronics,Organic Search,True,False,0.509,0.716
C00071,2024-12-13 00:00:00,56,Male,Boulder,CO,None,Beauty,Affiliate,True,True,0.32,0.371
C00072,2025-09-23 00:00:00,64,Female,Tacoma,WA,None,Baby,Paid Social,False,False,0.42,0.618
C00073,2025-08-15 00:00:00,44,Prefer not to say,Charlotte,NC,Gold,Electronics,Direct,True,True,0.474,0.36
C00074,2024-11-28 00:00:00,33,Non-binary,Scottsdale,AZ,Silver,Grocery,Paid Search,False,False,0.419,0.793
C00075,2024-10-22 00:00:00,63,Female,Buffalo,NY,None,Baby,Referral,True,False,0.528,0.778
C00076,2024-08-07 00:00:00,44,Non-binary,Buffalo,NY,None,Apparel,Organic Search,True,True,0.234,0.582
C00077,2025-07-17 00:00:00,20,Male,Orlando,FL,Silver,Baby,Paid Search,False,True,0.407,0.285
C00078,2025-02-10 00:00:00,28,Prefer not to say,Scottsdale,AZ,Gold,Apparel,Direct,True,False,0.54,0.89
C00079,2024-10-29 00:00:00,26,Prefer not to say,Raleigh,NC,None,Pet,Paid Search,True,True,0.118,0.481
C00080,2025-04-02 00:00:00,61,Non-binary,Seattle,WA,None,Apparel,Direct,False,True,0.678,0.457
C00081,2025-09-21 00:00:00,61,Female,Buffalo,NY,Gold,Beauty,Affiliate,True,True,0.375,0.483
C00082,2025-07-31 00:00:00,50,Prefer not to say,Austin,TX,Platinum,Pet,Referral,True,True,0.634,0.29
C00083,2025-07-31 00:00:00,21,Female,San Francisco,CA,None,Apparel,Organic Search,True,True,0.428,0.708
C00084,2024-05-18 00:00:00,43,Male,Boston,MA,Silver,Sports,Organic Search,True,False,0.54,0.654
C00085,2025-04-19 00:00:00,20,Prefer not to say,Denver,CO,Silver,Sports,Paid Search,True,True,0.684,0.731
C00086,2024-08-27 00:00:00,33,Non-binary,Denver,CO,Gold,Electronics,Direct,True,True,0.416,0.431
C00087,2024-10-08 00:00:00,42,Male,Los Angeles,CA,None,Beauty,Referral,True,True,0.572,0.766
C00088,2025-12-25 00:00:00,72,Non-binary,Miami,FL,None,Electronics,Affiliate,True,True,0.503,0.351
C00089,2024-10-01 00:00:00,48,Male,Boston,MA,None,Electronics,Referral,False,True,0.623,0.949
C00090,2024-10-16 00:00:00,20,Male,Boston,MA,Silver,Grocery,Organic Search,True,False,0.232,0.853
C00091,2025-08-16 00:00:00,64,Prefer not to say,Cambridge,MA,Silver,Pet,Paid Search,True,True,0.221,0.787
C00092,2024-05-23 00:00:00,31,Prefer not to say,Boulder,CO,Silver,Electronics,Organic Search,True,False,0.805,0.738
C00093,2025-09-23 00:00:00,61,Prefer not to say,Phoenix,AZ,None,Electronics,Organic Search,False,True,0.421,0.913
C00094,2024-09-03 00:00:00,66,Female,New York,NY,None,Apparel,Referral,True,True,0.495,0.579
C00095,2024-02-27 00:00:00,74,Prefer not to say,San Francisco,CA,None,Home,Organic Search,False,False,0.332,0.769
C00096,2024-10-14 00:00:00,37,Male,Denver,CO,None,Electronics,Affiliate,True,True,0.806,0.182
C00097,2025-07-07 00:00:00,56,Prefer not to say,Naperville,IL,Silver,Beauty,Organic Search,True,False,0.887,0.68
C00098,2025-04-06 00:00:00,58,Male,Scottsdale,AZ,Gold,Sports,Paid Social,True,True,0.375,0.836
C00099,2024-11-11 00:00:00,56,Non-binary,Scottsdale,AZ,Silver,Apparel,Organic Search,True,True,0.264,0.857
C00100,2024-03-27 00:00:00,44,Non-binary,Boulder,CO,None,Pet,Organic Search,True,False,0.604,0.829
C00101,2026-01-08 00:00:00,37,Non-binary,Phoenix,AZ,None,Pet,Referral,True,False,0.932,0.451
C00102,2024-11-22 00:00:00,71,Female,Tacoma,WA,None,Baby,Direct,True,False,0.25,0.838
C00103,2024-09-04 00:00:00,23,Female,Seattle,WA,None,Sports,Direct,True,True,0.422,0.487
C00104,2025-09-19 00:00:00,61,Male,San Francisco,CA,None,Sports,Organic Search,True,True,0.143,0.739
C00105,2024-03-28 00:00:00,22,Non-binary,Austin,TX,None,Beauty,Direct,True,False,0.261,0.36
C00106,2025-10-25 00:00:00,60,Prefer not to say,Dallas,TX,None,Beauty,Organic Search,True,False,0.603,0.481
C00107,2025-04-05 00:00:00,34,Prefer not to say,Raleigh,NC,Silver,Electronics,Affiliate,True,True,0.467,0.36
C00108,2024-04-26 00:00:00,37,Female,Chicago,IL,Silver,Baby,Paid Social,True,True,0.446,0.848
C00109,2025-03-04 00:00:00,57,Female,Raleigh,NC,Gold,Sports,Organic Search,True,True,0.438,0.607
C00110,2025-01-28 00:00:00,36,Male,Boulder,CO,Silver,Baby,Affiliate,True,False,0.335,0.836
C00111,2025-07-16 00:00:00,59,Male,Boulder,CO,Gold,Home,Organic Search,True,True,0.239,0.598
C00112,2024-03-30 00:00:00,26,Male,Phoenix,AZ,None,Home,Organic Search,True,True,0.471,0.421
C00113,2025-09-03 00:00:00,73,Male,Denver,CO,Gold,Apparel,Paid Search,True,True,0.188,0.31
C00114,2024-09-10 00:00:00,74,Non-binary,Cambridge,MA,Silver,Apparel,Referral,True,True,0.838,0.562
C00115,2026-01-20 00:00:00,38,Non-binary,Dallas,TX,None,Baby,Affiliate,True,True,0.345,0.302
C00116,2025-05-11 00:00:00,37,Male,Naperville,IL,None,Electronics,Organic Search,True,True,0.175,0.223
C00117,2025-01-15 00:00:00,51,Prefer not to say,Miami,FL,Platinum,Apparel,Organic Search,True,False,0.664,0.676
C00118,2025-03-08 00:00:00,27,Female,Miami,FL,Silver,Pet,Affiliate,True,True,0.715,0.891
C00119,2026-01-09 00:00:00,56,Non-binary,New York,NY,None,Beauty,Direct,False,True,0.719,0.414
C00120,2025-09-13 00:00:00,51,Female,Boulder,CO,Gold,Sports,Paid Social,True,False,0.161,0.579
C00121,2025-08-05 00:00:00,44,Prefer not to say,Cambridge,MA,Silver,Beauty,Organic Search,True,True,0.887,0.66
C00122,2024-06-05 00:00:00,22,Non-binary,Tacoma,WA,Gold,Home,Direct,False,True,0.32,0.29
C00123,2024-09-07 00:00:00,51,Non-binary,Austin,TX,None,Home,Paid Social,True,False,0.583,0.856
C00124,2024-10-02 00:00:00,28,Non-binary,Austin,TX,None,Electronics,Paid Social,True,False,0.396,0.889
C00125,2025-11-21 00:00:00,65,Prefer not to say,Austin,TX,Gold,Electronics,Paid Social,True,False,0.258,0.49
C00126,2024-11-23 00:00:00,73,Non-binary,Tacoma,WA,None,Grocery,Paid Social,True,True,0.619,0.648
C00127,2025-01-12 00:00:00,62,Female,Buffalo,NY,Silver,Apparel,Organic Search,True,True,0.702,0.675
C00128,2026-01-25 00:00:00,47,Female,Seattle,WA,Gold,Pet,Affiliate,True,False,0.584,0.487
C00129,2024-03-17 00:00:00,38,Prefer not to say,Charlotte,NC,None,Sports,Affiliate,True,False,0.7,0.826
C00130,2025-04-07 00:00:00,43,Female,Tacoma,WA,Silver,Home,Paid Social,True,True,0.309,0.495
C00131,2025-02-18 00:00:00,59,Female,Scottsdale,AZ,None,Pet,Organic Search,True,True,0.563,0.488
C00132,2025-10-23 00:00:00,43,Prefer not to say,Phoenix,AZ,None,Home,Referral,True,True,0.832,0.516
C00133,2024-08-07 00:00:00,30,Male,Miami,FL,Silver,Baby,Referral,True,True,0.676,0.734
C00134,2025-07-11 00:00:00,51,Non-binary,Phoenix,AZ,Silver,Grocery,Paid Search,True,False,0.541,0.958
C00135,2024-09-29 00:00:00,65,Non-binary,Denver,CO,None,Electronics,Direct,True,False,0.616,0.696
C00136,2025-07-31 00:00:00,69,Male,Orlando,FL,None,Pet,Direct,True,False,0.918,0.234
C00137,2024-11-27 00:00:00,37,Non-binary,San Jose,CA,Platinum,Beauty,Paid Search,True,True,0.421,0.582
C00138,2025-10-16 00:00:00,29,Female,Scottsdale,AZ,None,Beauty,Affiliate,True,True,0.689,0.608
C00139,2025-09-18 00:00:00,24,Female,New York,NY,None,Home,Referral,True,True,0.525,0.809
C00140,2024-06-19 00:00:00,69,Female,Cambridge,MA,Silver,Sports,Organic Search,True,False,0.234,0.777
C00141,2024-03-16 00:00:00,56,Prefer not to say,Chicago,IL,Gold,Sports,Organic Search,True,True,0.083,0.541
C00142,2024-07-13 00:00:00,58,Prefer not to say,Boston,MA,None,Apparel,Organic Search,True,True,0.829,0.868
C00143,2024-10-25 00:00:00,41,Male,Dallas,TX,Silver,Home,Organic Search,True,True,0.398,0.525
C00144,2024-08-19 00:00:00,71,Prefer not to say,Tacoma,WA,None,Beauty,Affiliate,True,False,0.868,0.547
C00145,2025-08-09 00:00:00,20,Prefer not to say,New York,NY,Silver,Home,Direct,True,False,0.828,0.764
C00146,2025-10-04 00:00:00,68,Prefer not to say,Miami,FL,None,Apparel,Referral,True,True,0.37,0.667
C00147,2025-08-19 00:00:00,29,Non-binary,Dallas,TX,None,Home,Paid Search,True,False,0.407,0.41
C00148,2025-02-15 00:00:00,61,Female,San Jose,CA,Silver,Grocery,Paid Search,True,False,0.557,0.49
C00149,2024-11-24 00:00:00,28,Female,Tacoma,WA,None,Home,Direct,True,True,0.164,0.49
C00150,2025-06-20 00:00:00,46,Male,Raleigh,NC,Platinum,Pet,Affiliate,True,True,0.302,0.724
C00151,2024-09-21 00:00:00,67,Female,Dallas,TX,Silver,Sports,Paid Search,True,True,0.285,0.407
C00152,2024-01-09 00:00:00,55,Female,New York,NY,Silver,Apparel,Affiliate,False,False,0.734,0.411
C00153,2025-01-18 00:00:00,75,Non-binary,Denver,CO,None,Apparel,Paid Search,True,True,0.73,0.779
C00154,2024-02-28 00:00:00,63,Male,Raleigh,NC,Silver,Grocery,Direct,True,False,0.516,0.521
C00155,2025-10-15 00:00:00,69,Male,Scottsdale,AZ,None,Grocery,Direct,True,True,0.292,0.682
C00156,2026-02-01 00:00:00,48,Male,Seattle,WA,Silver,Grocery,Direct,True,True,0.449,0.213
C00157,2024-02-25 00:00:00,39,Male,Orlando,FL,Gold,Pet,Direct,True,True,0.182,0.592
C00158,2024-08-02 00:00:00,41,Female,Orlando,FL,None,Beauty,Affiliate,True,False,0.776,0.932
C00159,2025-10-03 00:00:00,26,Non-binary,Buffalo,NY,Gold,Grocery,Paid Social,True,True,0.393,0.631
C00160,2025-02-17 00:00:00,56,Female,Los Angeles,CA,Gold,Beauty,Organic Search,True,True,0.383,0.336
C00161,2025-12-07 00:00:00,62,Male,Dallas,TX,Silver,Sports,Organic Search,True,True,0.178,0.53
C00162,2024-10-16 00:00:00,49,Male,Houston,TX,None,Baby,Referral,True,True,0.451,0.545
C00163,2025-11-18 00:00:00,36,Non-binary,Dallas,TX,None,Baby,Organic Search,True,True,0.275,0.496
C00164,2024-02-10 00:00:00,35,Female,Tacoma,WA,Silver,Grocery,Paid Social,True,True,0.248,0.333
C00165,2025-04-12 00:00:00,40,Female,Seattle,WA,None,Baby,Referral,False,True,0.718,0.877
C00166,2025-02-25 00:00:00,48,Non-binary,Scottsdale,AZ,Platinum,Apparel,Paid Search,True,True,0.778,0.709
C00167,2025-09-19 00:00:00,50,Male,Los Angeles,CA,Platinum,Beauty,Direct,True,False,0.505,0.789
C00168,2024-03-21 00:00:00,68,Non-binary,Phoenix,AZ,Silver,Baby,Direct,True,False,0.3,0.503
C00169,2025-01-07 00:00:00,18,Non-binary,San Francisco,CA,None,Baby,Direct,False,True,0.355,0.807
C00170,2025-06-18 00:00:00,20,Female,Naperville,IL,None,Electronics,Referral,True,False,0.737,0.51
C00171,2024-05-17 00:00:00,70,Male,Phoenix,AZ,Platinum,Electronics,Referral,True,True,0.482,0.614
C00172,2024-11-25 00:00:00,62,Non-binary,Denver,CO,None,Sports,Paid Search,True,False,0.676,0.372
C00173,2025-12-04 00:00:00,65,Non-binary,Naperville,IL,None,Beauty,Organic Search,True,True,0.825,0.465
C00174,2024-05-28 00:00:00,61,Male,Los Angeles,CA,None,Pet,Direct,True,True,0.601,0.629
C00175,2025-12-13 00:00:00,76,Non-binary,Seattle,WA,None,Electronics,Direct,False,True,0.872,0.353
C00176,2024-06-30 00:00:00,56,Female,Houston,TX,Gold,Beauty,Affiliate,True,True,0.239,0.903
C00177,2025-08-09 00:00:00,74,Male,Boulder,CO,Silver,Grocery,Paid Social,True,True,0.503,0.435
C00178,2026-02-09 00:00:00,25,Prefer not to say,Raleigh,NC,Silver,Electronics,Affiliate,True,True,0.381,0.276
C00179,2025-06-13 00:00:00,31,Male,Naperville,IL,Silver,Baby,Organic Search,True,False,0.409,0.277
C00180,2026-01-29 00:00:00,58,Prefer not to say,Cambridge,MA,None,Home,Paid Social,True,False,0.306,0.756
C00181,2025-07-01 00:00:00,60,Female,San Francisco,CA,None,Home,Paid Search,True,True,0.476,0.333
C00182,2025-02-04 00:00:00,53,Female,Boulder,CO,Silver,Beauty,Paid Search,True,False,0.311,0.11
C00183,2024-12-18 00:00:00,47,Female,Buffalo,NY,Silver,Beauty,Direct,True,True,0.48,0.396
C00184,2026-01-13 00:00:00,60,Non-binary,Charlotte,NC,Silver,Grocery,Affiliate,True,False,0.58,0.283
C00185,2025-03-14 00:00:00,46,Non-binary,Orlando,FL,Platinum,Pet,Referral,True,True,0.596,0.616
C00186,2025-09-13 00:00:00,67,Male,Austin,TX,None,Beauty,Affiliate,True,False,0.504,0.571
C00187,2025-07-06 00:00:00,50,Female,Phoenix,AZ,None,Beauty,Affiliate,True,False,0.277,0.464
C00188,2024-05-23 00:00:00,31,Non-binary,Scottsdale,AZ,Gold,Beauty,Referral,False,False,0.705,0.654
C00189,2024-02-10 00:00:00,76,Male,Naperville,IL,Gold,Apparel,Paid Social,True,True,0.438,0.647
C00190,2025-05-08 00:00:00,60,Male,Raleigh,NC,Platinum,Beauty,Paid Social,True,True,0.459,0.311
C00191,2025-05-05 00:00:00,27,Female,Phoenix,AZ,Gold,Beauty,Paid Social,False,True,0.72,0.619
C00192,2025-02-19 00:00:00,32,Prefer not to say,Charlotte,NC,None,Electronics,Affiliate,True,True,0.561,0.439
C00193,2025-11-06 00:00:00,75,Female,Denver,CO,Silver,Grocery,Organic Search,True,True,0.188,0.611
C00194,2025-09-09 00:00:00,55,Female,Boulder,CO,None,Sports,Paid Search,True,False,0.849,0.25
C00195,2024-03-26 00:00:00,55,Non-binary,Tacoma,WA,None,Sports,Affiliate,True,True,0.581,0.913
C00196,2024-10-09 00:00:00,43,Male,Boston,MA,None,Sports,Direct,True,False,0.719,0.525
C00197,2024-06-14 00:00:00,70,Male,Dallas,TX,Gold,Sports,Affiliate,True,True,0.612,0.187
C00198,2024-08-15 00:00:00,29,Prefer not to say,Naperville,IL,Gold,Electronics,Organic Search,True,False,0.678,0.833
C00199,2025-06-14 00:00:00,30,Female,Seattle,WA,Gold,Pet,Organic Search,True,False,0.638,0.356
C00200,2025-07-26 00:00:00,25,Non-binary,Raleigh,NC,Silver,Apparel,Direct,True,True,0.362,0.583
