order_id,customer_id,order_date,channel,device,subtotal,discount_amount,shipping_amount,tax_amount,order_total,payment_type,order_status
O000572,C00141,2024-08-28 00:00:00,App,Desktop,460.6,4.29,0,34.22,490.53,PayPal,Completed
O000628,C00157,2024-08-28 00:00:00,Web,Desktop,413.57,11.03,0,30.19,432.73,Gift Card,Completed
O000778,C00189,2024-08-29 00:00:00,App,Tablet,344.95,55.04,0,21.74,311.65,PayPal,Completed
O000571,C00141,2024-09-02 00:00:00,App,Tablet,148.6,0.0,0,11.14,159.74,PayPal,Completed
O000156,C00041,2024-09-10 00:00:00,Web,Mobile,130.77,11.68,0,8.93,128.02,Credit Card,Returned
O000379,C00094,2024-09-29 00:00:00,App,Tablet,240.4,29.1,0,15.85,227.15,PayPal,Completed
O000107,C00027,2024-09-30 00:00:00,Web,Tablet,77.86,8.87,0,5.17,74.16,Gift Card,Completed
O000065,C00019,2024-10-01 00:00:00,Web,Desktop,55.94,8.72,6.99,3.54,57.75,Apple Pay,Returned
O000490,C00122,2024-10-01 00:00:00,App,Desktop,364.48,31.89,0,24.94,357.53,PayPal,Completed
O000686,C00168,2024-10-04 00:00:00,App,Desktop,287.9,17.88,0,20.25,290.27,Credit Card,Completed
O000116,C00029,2024-10-05 00:00:00,Web,Mobile,284.29,51.5,0,17.46,250.25,Gift Card,Completed
O000635,C00157,2024-10-06 00:00:00,App,Desktop,84.85,2.67,0,6.16,88.34,Gift Card,Completed
O000047,C00017,2024-10-07 00:00:00,App,Tablet,542.04,91.58,0,33.78,484.24,Credit Card,Completed
O000066,C00019,2024-10-07 00:00:00,Web,Desktop,103.03,11.28,0,6.88,98.63,Gift Card,Completed
O000139,C00035,2024-10-08 00:00:00,App,Tablet,467.26,42.79,0,31.84,456.31,PayPal,Completed
O000491,C00122,2024-10-11 00:00:00,App,Tablet,204.49,10.89,0,14.52,208.12,PayPal,Completed
O000634,C00157,2024-10-12 00:00:00,Web,Desktop,432.84,0.0,0,32.46,465.3,PayPal,Completed
O000728,C00176,2024-10-16 00:00:00,App,Mobile,610.94,54.28,0,41.75,598.41,Credit Card,Completed
O000045,C00016,2024-10-17 00:00:00,App,Tablet,315.43,57.53,0,19.34,277.24,Gift Card,Completed
O000162,C00041,2024-10-18 00:00:00,Web,Tablet,832.84,32.94,0,59.99,859.89,PayPal,Completed
O000374,C00092,2024-10-20 00:00:00,Web,Tablet,282.36,31.97,0,18.78,269.17,Gift Card,Returned
O000583,C00144,2024-10-23 00:00:00,Web,Tablet,233.63,51.07,0,13.69,196.25,Credit Card,Completed
O000662,C00164,2024-10-23 00:00:00,Web,Desktop,205.45,19.04,0,13.98,200.39,Credit Card,Completed
O000568,C00141,2024-10-24 00:00:00,App,Tablet,148.6,0.0,0,11.14,159.74,Gift Card,Completed
O000612,C00152,2024-10-24 00:00:00,App,Mobile,33.06,9.08,6.99,1.8,32.77,Apple Pay,Completed
O000314,C00075,2024-10-25 00:00:00,Web,Tablet,206.06,28.35,0,13.33,191.04,Gift Card,Completed
O000567,C00141,2024-10-25 00:00:00,App,Tablet,246.45,18.09,0,17.13,245.49,Gift Card,Completed
O000412,C00103,2024-10-26 00:00:00,Web,Desktop,1223.63,185.15,0,77.89,1116.37,Credit Card,Completed
O000040,C00016,2024-10-27 00:00:00,Web,Desktop,472.74,93.63,0,28.43,407.54,PayPal,Completed
O000355,C00086,2024-10-28 00:00:00,Web,Mobile,417.03,63.3,0,26.53,380.26,Apple Pay,Completed
O000368,C00090,2024-10-28 00:00:00,Web,Mobile,100.32,7.56,0,6.96,99.72,Apple Pay,Completed
O000499,C00124,2024-10-28 00:00:00,App,Mobile,39.57,0.28,6.99,2.95,49.23,Credit Card,Completed
O000783,C00189,2024-10-30 00:00:00,Web,Tablet,155.72,20.03,0,10.18,145.87,Apple Pay,Completed
O000781,C00189,2024-10-31 00:00:00,App,Tablet,263.81,8.37,0,19.16,274.6,PayPal,Completed
O000711,C00171,2024-11-01 00:00:00,App,Mobile,111.93,13.59,0,7.38,105.72,PayPal,Completed
O000716,C00171,2024-11-02 00:00:00,Web,Mobile,284.16,33.21,0,18.82,269.77,Credit Card,Completed
O000114,C00029,2024-11-04 00:00:00,App,Desktop,418.67,71.32,0,26.05,373.4,Credit Card,Cancelled
O000262,C00062,2024-11-04 00:00:00,App,Mobile,199.95,25.72,0,13.07,187.3,Credit Card,Completed
O000367,C00090,2024-11-06 00:00:00,Web,Tablet,443.16,57.29,0,28.94,414.81,PayPal,Completed
O000195,C00050,2024-11-10 00:00:00,App,Mobile,232.8,23.68,0,15.68,224.8,Gift Card,Completed
O000058,C00017,2024-11-11 00:00:00,Web,Mobile,144.28,8.19,0,10.21,146.3,Apple Pay,Completed
O000119,C00030,2024-11-14 00:00:00,Web,Tablet,612.35,82.04,0,39.77,570.08,Gift Card,Completed
O000257,C00062,2024-11-14 00:00:00,App,Tablet,459.52,49.79,0,30.73,440.46,Gift Card,Completed
O000110,C00027,2024-11-15 00:00:00,Web,Mobile,127.77,8.7,0,8.93,128.0,Credit Card,Returned
O000288,C00069,2024-11-15 00:00:00,App,Mobile,337.81,59.48,0,20.87,299.2,Credit Card,Completed
O000046,C00016,2024-11-17 00:00:00,App,Mobile,126.22,19.78,0,7.98,114.42,Gift Card,Completed
O000227,C00054,2024-11-18 00:00:00,App,Tablet,58.4,6.58,0,3.89,55.71,PayPal,Completed
O000812,C00196,2024-11-19 00:00:00,App,Mobile,248.17,40.57,0,15.57,223.17,Gift Card,Completed
O000317,C00075,2024-11-20 00:00:00,App,Mobile,422.72,39.56,0,28.74,411.9,Credit Card,Completed
O000363,C00089,2024-11-22 00:00:00,App,Mobile,1072.53,179.7,0,66.96,959.79,Credit Card,Completed
O000294,C00069,2024-11-24 00:00:00,App,Mobile,212.9,36.38,0,13.24,189.76,PayPal,Completed
O000581,C00143,2024-11-27 00:00:00,Web,Mobile,130.77,30.39,0,7.53,107.91,Gift Card,Completed
O000236,C00054,2024-11-28 00:00:00,Web,Desktop,81.1,20.83,0,4.52,64.79,Gift Card,Completed
O000386,C00096,2024-11-28 00:00:00,App,Desktop,527.62,134.65,0,29.47,422.44,Apple Pay,Cancelled
O000196,C00050,2024-12-02 00:00:00,App,Mobile,14.66,0.0,6.99,1.1,22.75,Gift Card,Completed
O000689,C00168,2024-12-02 00:00:00,Web,Desktop,144.28,14.51,0,9.73,139.5,Apple Pay,Completed
O000021,C00008,2024-12-04 00:00:00,App,Desktop,347.74,77.82,0,20.24,290.16,Credit Card,Completed
O000825,C00198,2024-12-04 00:00:00,App,Mobile,159.09,12.97,0,10.96,157.08,Gift Card,Completed
O000574,C00141,2024-12-07 00:00:00,App,Desktop,147.32,6.07,0,10.59,151.84,Credit Card,Completed
O000417,C00105,2024-12-09 00:00:00,App,Desktop,291.09,46.71,0,18.33,262.71,Gift Card,Completed
O000575,C00141,2024-12-09 00:00:00,Web,Desktop,617.42,57.12,0,42.02,602.32,Gift Card,Completed
O000353,C00086,2024-12-10 00:00:00,Web,Desktop,240.66,36.7,0,15.3,219.26,Credit Card,Completed
O000667,C00164,2024-12-13 00:00:00,App,Mobile,92.3,11.12,0,6.09,87.27,Gift Card,Completed
O000320,C00076,2024-12-14 00:00:00,App,Tablet,486.21,45.77,0,33.03,473.47,Gift Card,Completed
O000113,C00029,2024-12-16 00:00:00,Web,Desktop,363.93,56.21,0,23.08,330.8,Credit Card,Completed
O000287,C00069,2024-12-16 00:00:00,Web,Desktop,144.28,25.62,0,8.9,127.56,Apple Pay,Completed
O000023,C00008,2024-12-19 00:00:00,Web,Tablet,1202.0,225.73,0,73.22,1049.49,Credit Card,Completed
O000277,C00068,2024-12-19 00:00:00,App,Desktop,225.89,39.71,0,13.96,200.14,PayPal,Completed
O000295,C00069,2024-12-19 00:00:00,App,Tablet,231.76,37.14,0,14.6,209.22,Apple Pay,Completed
O000670,C00164,2024-12-20 00:00:00,App,Mobile,77.63,0.0,0,5.82,83.45,PayPal,Completed
O000817,C00197,2024-12-26 00:00:00,Web,Mobile,111.93,23.12,0,6.66,95.47,Credit Card,Completed
O000515,C00129,2024-12-27 00:00:00,App,Mobile,1336.91,210.84,0,84.46,1210.53,Gift Card,Completed
O000566,C00141,2024-12-31 00:00:00,App,Tablet,239.64,0.0,0,17.97,257.61,Credit Card,Completed
O000640,C00158,2024-12-31 00:00:00,App,Desktop,28.73,8.24,6.99,1.54,29.02,PayPal,Cancelled
O000606,C00151,2025-01-01 00:00:00,App,Mobile,892.01,85.63,0,60.48,866.86,PayPal,Completed
O000169,C00045,2025-01-03 00:00:00,Web,Tablet,81.1,13.92,0,5.04,72.22,Apple Pay,Completed
O000579,C00142,2025-01-03 00:00:00,App,Tablet,309.44,66.01,0,18.26,261.69,PayPal,Completed
O000069,C00019,2025-01-04 00:00:00,App,Desktop,250.18,49.98,0,15.02,215.22,Credit Card,Completed
O000203,C00052,2025-01-04 00:00:00,App,Mobile,535.33,72.09,0,34.74,497.98,Credit Card,Completed
O000555,C00137,2025-01-06 00:00:00,App,Mobile,309.44,38.19,0,20.34,291.59,Apple Pay,Completed
O000730,C00176,2025-01-06 00:00:00,App,Tablet,340.81,25.93,0,23.62,338.5,Gift Card,Completed
O000821,C00197,2025-01-08 00:00:00,App,Desktop,657.78,83.02,0,43.11,617.87,PayPal,Completed
O000383,C00094,2025-01-09 00:00:00,App,Tablet,707.6,106.1,0,45.11,646.61,Gift Card,Completed
O000810,C00196,2025-01-12 00:00:00,Web,Tablet,159.55,27.28,0,9.92,142.19,Credit Card,Completed
O000315,C00075,2025-01-13 00:00:00,Web,Mobile,1542.76,150.03,0,104.45,1497.18,Gift Card,Completed
O000279,C00068,2025-01-14 00:00:00,App,Mobile,284.16,43.12,0,18.08,259.12,Apple Pay,Completed
O000183,C00048,2025-01-16 00:00:00,Web,Tablet,234.32,0.48,0,17.54,251.38,PayPal,Completed
O000366,C00090,2025-01-19 00:00:00,App,Tablet,295.85,36.25,0,19.47,279.07,PayPal,Completed
O000444,C00112,2025-01-19 00:00:00,App,Mobile,37.29,4.39,6.99,2.47,42.36,Gift Card,Completed
O000387,C00096,2025-01-21 00:00:00,Web,Desktop,501.24,72.9,0,32.13,460.47,PayPal,Completed
O000378,C00094,2025-01-23 00:00:00,Web,Mobile,77.63,11.53,0,4.96,71.06,PayPal,Completed
O000695,C00168,2025-01-25 00:00:00,Web,Desktop,69.07,7.48,0,4.62,66.21,Credit Card,Completed
O000347,C00084,2025-01-29 00:00:00,App,Tablet,197.4,20.07,0,13.3,190.63,Gift Card,Completed
O000159,C00041,2025-01-30 00:00:00,Web,Desktop,1037.13,108.15,0,69.67,998.65,Credit Card,Completed
O000510,C00127,2025-02-02 00:00:00,Web,Tablet,523.82,65.35,0,34.39,492.86,Gift Card,Completed
O000091,C00026,2025-02-03 00:00:00,App,Tablet,163.73,23.83,0,10.49,150.39,PayPal,Completed
O000712,C00171,2025-02-03 00:00:00,App,Mobile,302.5,63.95,0,17.89,256.44,Gift Card,Completed
O000002,C00001,2025-02-06 00:00:00,Web,Desktop,217.19,44.98,0,12.92,185.13,Apple Pay,Completed
O000457,C00114,2025-02-08 00:00:00,Web,Tablet,344.95,91.83,0,18.98,272.1,Gift Card,Completed
O000464,C00117,2025-02-08 00:00:00,Web,Desktop,16.55,1.81,0,1.11,15.85,PayPal,Completed
O000508,C00127,2025-02-10 00:00:00,App,Desktop,261.91,48.92,0,15.97,228.96,Gift Card,Completed
O000659,C00162,2025-02-10 00:00:00,Web,Mobile,287.79,61.33,0,16.98,243.44,Gift Card,Completed
O000459,C00114,2025-02-12 00:00:00,App,Tablet,364.92,73.44,0,21.86,313.34,PayPal,Completed
O000815,C00197,2025-02-12 00:00:00,App,Desktop,337.81,71.63,0,19.96,286.14,PayPal,Completed
O000688,C00168,2025-02-13 00:00:00,App,Tablet,146.09,12.02,0,10.06,144.13,Apple Pay,Completed
O000325,C00078,2025-02-14 00:00:00,Web,Mobile,976.63,245.09,0,54.87,786.41,Credit Card,Cancelled
O000614,C00154,2025-02-14 00:00:00,App,Desktop,372.81,39.26,0,25.02,358.57,PayPal,Completed
O000554,C00137,2025-02-16 00:00:00,App,Desktop,159.09,18.94,0,10.51,150.66,Credit Card,Completed
O000719,C00172,2025-02-21 00:00:00,App,Tablet,173.75,42.77,0,9.82,140.8,Gift Card,Completed
O000052,C00017,2025-02-24 00:00:00,App,Mobile,233.33,24.91,0,15.63,224.05,Credit Card,Completed
O000493,C00123,2025-02-24 00:00:00,Web,Tablet,451.78,53.98,0,29.83,427.63,Apple Pay,Completed
O000818,C00197,2025-02-24 00:00:00,Web,Desktop,378.1,62.53,0,23.67,339.24,Credit Card,Completed
O000518,C00129,2025-02-25 00:00:00,App,Tablet,439.66,77.08,0,27.19,389.77,Gift Card,Completed
O000138,C00035,2025-02-28 00:00:00,Web,Mobile,339.4,33.09,0,22.97,329.28,Apple Pay,Completed
O000215,C00053,2025-03-02 00:00:00,Web,Tablet,123.78,15.45,0,8.12,116.45,Gift Card,Completed
O000270,C00067,2025-03-03 00:00:00,Web,Desktop,527.62,42.87,0,36.36,521.11,PayPal,Completed
O000637,C00157,2025-03-03 00:00:00,Web,Desktop,77.86,0.0,0,5.84,83.7,PayPal,Completed
O000826,C00198,2025-03-03 00:00:00,App,Desktop,296.26,71.75,0,16.84,241.35,PayPal,Completed
O000375,C00092,2025-03-04 00:00:00,App,Tablet,219.83,29.08,0,14.31,205.06,Apple Pay,Completed
O000157,C00041,2025-03-06 00:00:00,App,Desktop,262.79,21.19,0,18.12,259.72,PayPal,Completed
O000282,C00068,2025-03-06 00:00:00,Web,Desktop,192.47,17.16,0,13.15,188.46,Credit Card,Completed
O000049,C00017,2025-03-08 00:00:00,App,Mobile,171.73,28.8,0,10.72,153.65,Apple Pay,Completed
O000710,C00171,2025-03-09 00:00:00,Web,Tablet,355.0,50.61,0,22.83,327.22,Apple Pay,Completed
O000641,C00158,2025-03-10 00:00:00,App,Mobile,217.19,35.57,0,13.62,195.24,Apple Pay,Completed
O000354,C00086,2025-03-11 00:00:00,Web,Mobile,246.45,19.8,0,17.0,243.65,Apple Pay,Completed
O000207,C00052,2025-03-12 00:00:00,Web,Tablet,851.6,120.4,0,54.84,786.04,Gift Card,Completed
O000373,C00092,2025-03-12 00:00:00,Web,Mobile,328.74,77.65,0,18.83,269.92,PayPal,Completed
O000608,C00152,2025-03-13 00:00:00,Web,Mobile,402.99,93.49,0,23.21,332.71,Apple Pay,Completed
O000061,C00017,2025-03-15 00:00:00,Web,Desktop,261.91,28.49,0,17.51,250.93,Gift Card,Completed
O000473,C00118,2025-03-15 00:00:00,App,Mobile,95.31,17.57,0,5.83,83.57,Gift Card,Completed
O000469,C00117,2025-03-16 00:00:00,Web,Desktop,205.45,62.39,0,10.73,153.79,Credit Card,Returned
O000527,C00133,2025-03-16 00:00:00,App,Desktop,301.28,72.29,0,17.17,246.16,Gift Card,Completed
O000174,C00048,2025-03-19 00:00:00,App,Tablet,309.44,16.6,0,21.96,314.8,Apple Pay,Completed
O000266,C00064,2025-03-19 00:00:00,App,Mobile,240.4,35.61,0,15.36,220.15,Apple Pay,Completed
O000744,C00182,2025-03-19 00:00:00,Web,Tablet,239.64,0.0,0,17.97,257.61,PayPal,Completed
O000755,C00185,2025-03-19 00:00:00,App,Mobile,241.4,26.46,0,16.12,231.06,PayPal,Completed
O000435,C00110,2025-03-20 00:00:00,Web,Mobile,209.95,32.17,0,13.33,191.11,Credit Card,Completed
O000198,C00051,2025-03-21 00:00:00,Web,Desktop,644.25,75.64,0,42.65,611.26,Credit Card,Completed
O000062,C00017,2025-03-22 00:00:00,App,Desktop,233.33,9.61,0,16.78,240.5,Gift Card,Completed
O000106,C00027,2025-03-22 00:00:00,App,Desktop,28.73,1.75,6.99,2.02,35.99,Apple Pay,Cancelled
O000153,C00041,2025-03-22 00:00:00,App,Tablet,143.31,20.43,0,9.22,132.1,Apple Pay,Completed
O000193,C00050,2025-03-22 00:00:00,App,Tablet,284.16,48.84,0,17.65,252.97,Credit Card,Completed
O000540,C00135,2025-03-22 00:00:00,Web,Desktop,427.36,89.64,0,25.33,363.05,Apple Pay,Completed
O000328,C00078,2025-03-24 00:00:00,Web,Desktop,688.73,65.71,0,46.73,669.75,Gift Card,Cancelled
O000784,C00189,2025-03-25 00:00:00,Web,Desktop,295.85,76.28,0,16.47,236.04,Credit Card,Completed
O000271,C00067,2025-03-27 00:00:00,App,Tablet,111.93,18.9,0,6.98,100.01,Apple Pay,Completed
O000293,C00069,2025-03-27 00:00:00,App,Tablet,437.04,69.26,0,27.58,395.36,PayPal,Completed
O000216,C00053,2025-03-28 00:00:00,App,Desktop,628.59,79.31,0,41.2,590.48,Apple Pay,Completed
O000772,C00188,2025-03-28 00:00:00,App,Mobile,199.83,20.9,0,13.42,192.35,Gift Card,Completed
O000276,C00068,2025-04-01 00:00:00,App,Tablet,340.81,87.27,0,19.02,272.56,Apple Pay,Completed
O000202,C00051,2025-04-02 00:00:00,App,Tablet,225.89,17.66,0,15.62,223.85,PayPal,Completed
O000487,C00122,2025-04-02 00:00:00,App,Tablet,467.26,86.52,0,28.56,409.3,Apple Pay,Returned
O000481,C00122,2025-04-03 00:00:00,Web,Mobile,261.91,27.16,0,17.61,252.36,Apple Pay,Completed
O000653,C00160,2025-04-03 00:00:00,Web,Mobile,185.81,20.3,0,12.41,177.92,Apple Pay,Completed
O000310,C00074,2025-04-04 00:00:00,App,Mobile,296.26,36.84,0,19.46,278.88,Credit Card,Completed
O000664,C00164,2025-04-04 00:00:00,Web,Mobile,60.94,6.52,0,4.08,58.5,Gift Card,Completed
O000775,C00188,2025-04-05 00:00:00,App,Mobile,233.33,52.18,0,13.59,194.74,Credit Card,Completed
O000182,C00048,2025-04-06 00:00:00,App,Desktop,127.26,15.27,0,8.4,120.39,Credit Card,Completed
O000226,C00054,2025-04-07 00:00:00,App,Desktop,466.66,45.64,0,31.58,452.6,Credit Card,Completed
O000470,C00117,2025-04-07 00:00:00,Web,Mobile,578.54,102.13,0,35.73,512.14,PayPal,Completed
O000619,C00157,2025-04-10 00:00:00,Web,Desktop,489.6,54.3,0,32.65,467.95,PayPal,Completed
O000526,C00131,2025-04-11 00:00:00,App,Tablet,192.42,31.49,0,12.07,173.0,Gift Card,Completed
O000668,C00164,2025-04-12 00:00:00,App,Tablet,341.05,29.73,0,23.35,334.67,Gift Card,Completed
O000022,C00008,2025-04-13 00:00:00,Web,Desktop,392.25,63.97,0,24.62,352.9,Gift Card,Completed
O000601,C00151,2025-04-14 00:00:00,Web,Mobile,279.78,42.51,0,17.8,255.07,Apple Pay,Returned
O000676,C00166,2025-04-15 00:00:00,Web,Desktop,425.72,106.09,0,23.97,343.6,Credit Card,Cancelled
O000427,C00109,2025-04-18 00:00:00,App,Desktop,827.62,114.47,0,53.49,766.64,PayPal,Returned
O000036,C00014,2025-04-19 00:00:00,App,Desktop,530.23,74.75,0,34.16,489.64,Gift Card,Completed
O000313,C00074,2025-04-19 00:00:00,App,Tablet,77.63,9.66,0,5.1,73.07,Gift Card,Completed
O000743,C00182,2025-04-19 00:00:00,App,Desktop,155.72,20.56,0,10.14,145.3,Credit Card,Completed
O000275,C00068,2025-04-22 00:00:00,App,Tablet,578.15,105.4,0,35.46,508.21,Gift Card,Cancelled
O000603,C00151,2025-04-22 00:00:00,Web,Mobile,337.81,39.86,0,22.35,320.3,PayPal,Completed
O000532,C00133,2025-04-23 00:00:00,App,Tablet,419.06,75.06,0,25.8,369.8,Gift Card,Completed
O000056,C00017,2025-04-24 00:00:00,App,Tablet,399.66,61.92,0,25.33,363.07,Apple Pay,Completed
O000187,C00048,2025-04-24 00:00:00,Web,Mobile,531.46,61.88,0,35.22,504.8,Gift Card,Completed
O000399,C00099,2025-04-24 00:00:00,Web,Mobile,98.7,0.0,0,7.4,106.1,PayPal,Completed
O000351,C00085,2025-04-25 00:00:00,App,Desktop,79.14,13.59,0,4.92,70.47,Gift Card,Completed
O000591,C00148,2025-04-27 00:00:00,App,Desktop,77.86,12.18,0,4.93,70.61,Apple Pay,Completed
O000651,C00160,2025-04-27 00:00:00,App,Mobile,39.57,2.64,0,2.77,39.7,Apple Pay,Completed
O000102,C00026,2025-04-28 00:00:00,Web,Tablet,240.4,58.22,0,13.66,195.84,Apple Pay,Completed
O000658,C00162,2025-04-28 00:00:00,App,Mobile,60.94,9.46,0,3.86,55.34,PayPal,Completed
O000344,C00084,2025-04-29 00:00:00,Web,Desktop,407.07,48.67,0,26.88,385.28,Credit Card,Returned
O000482,C00122,2025-04-29 00:00:00,App,Desktop,192.47,36.82,0,11.67,167.32,PayPal,Completed
O000132,C00033,2025-04-30 00:00:00,App,Mobile,302.5,31.59,0,20.32,291.23,Credit Card,Completed
O000240,C00056,2025-04-30 00:00:00,Web,Mobile,339.4,13.14,0,24.47,350.73,Apple Pay,Completed
O000590,C00148,2025-04-30 00:00:00,Web,Desktop,394.96,97.98,0,22.27,319.25,Apple Pay,Completed
O000746,C00182,2025-05-01 00:00:00,App,Desktop,366.85,42.85,0,24.3,348.3,Gift Card,Completed
O000541,C00135,2025-05-02 00:00:00,App,Tablet,302.5,35.36,0,20.04,287.18,Apple Pay,Completed
O000517,C00129,2025-05-03 00:00:00,App,Desktop,84.85,17.02,0,5.09,72.92,Gift Card,Completed
O000569,C00141,2025-05-03 00:00:00,Web,Tablet,207.22,20.52,0,14.0,200.7,Apple Pay,Completed
O000140,C00035,2025-05-04 00:00:00,Web,Tablet,527.62,99.17,0,32.13,460.58,Apple Pay,Completed
O000609,C00152,2025-05-04 00:00:00,Web,Mobile,471.16,56.39,0,31.11,445.88,Gift Card,Cancelled
O000434,C00110,2025-05-08 00:00:00,App,Tablet,14.66,0.6,6.99,1.05,22.1,Gift Card,Completed
