customer_id,snapshot_date,tenure_days,days_since_last_purchase,lifetime_orders,lifetime_revenue,avg_order_value,sessions_lifetime,churn_label_180d,purchase_propensity_label_30d
C00045,2026-07-01 00:00:00,835,112,5,496.18,99.24,11,0,0
C00046,2026-07-01 00:00:00,595,595,0,0.0,0,7,1,0
C00047,2026-07-01 00:00:00,425,202,2,509.08,254.54,16,1,0
C00048,2026-07-01 00:00:00,566,6,16,4767.13,297.95,13,0,0
C00049,2026-07-01 00:00:00,234,14,2,381.44,190.72,14,0,0
C00050,2026-07-01 00:00:00,728,2,6,1517.73,252.96,13,0,1
C00051,2026-07-01 00:00:00,746,22,5,1766.04,353.21,9,0,0
C00052,2026-07-01 00:00:00,747,273,5,3476.8,695.36,7,1,0
C00053,2026-07-01 00:00:00,885,12,14,4083.89,291.71,16,0,1
C00054,2026-07-01 00:00:00,831,31,15,4883.69,325.58,17,0,1
C00055,2026-07-01 00:00:00,364,17,2,572.5,286.25,16,0,1
C00056,2026-07-01 00:00:00,530,288,3,1081.23,360.41,13,1,0
C00057,2026-07-01 00:00:00,266,5,1,114.36,114.36,15,0,1
C00058,2026-07-01 00:00:00,547,105,2,211.25,105.62,16,0,0
C00059,2026-07-01 00:00:00,478,26,7,2511.04,358.72,19,0,0
C00060,2026-07-01 00:00:00,467,340,1,107.99,107.99,12,1,0
C00061,2026-07-01 00:00:00,537,80,3,1369.19,456.4,13,0,0
C00062,2026-07-01 00:00:00,792,125,7,2271.95,324.56,14,0,0
C00063,2026-07-01 00:00:00,229,28,2,1688.53,844.26,16,0,1
C00064,2026-07-01 00:00:00,535,210,2,748.14,374.07,12,1,0
C00065,2026-07-01 00:00:00,383,130,2,528.63,264.31,13,0,0
C00066,2026-07-01 00:00:00,398,133,1,311.32,311.32,16,0,0
C00067,2026-07-01 00:00:00,497,140,5,1375.27,275.05,12,0,0
C00068,2026-07-01 00:00:00,665,83,8,1578.72,197.34,8,0,0
C00069,2026-07-01 00:00:00,597,47,14,4836.36,345.45,12,0,0
C00070,2026-07-01 00:00:00,500,167,8,2323.74,290.47,8,0,0
C00071,2026-07-01 00:00:00,565,565,0,0.0,0,16,1,0
C00072,2026-07-01 00:00:00,281,281,0,0.0,0,12,1,0
C00073,2026-07-01 00:00:00,320,129,5,1499.19,299.84,11,0,0
C00074,2026-07-01 00:00:00,580,46,4,836.63,209.16,14,0,1
C00075,2026-07-01 00:00:00,617,231,5,2533.02,506.6,13,1,0
C00076,2026-07-01 00:00:00,693,304,4,1521.79,380.45,14,1,0
C00077,2026-07-01 00:00:00,349,2,1,137.85,137.85,10,0,0
C00078,2026-07-01 00:00:00,506,147,6,2960.22,493.37,17,0,0
C00079,2026-07-01 00:00:00,610,61,1,139.51,139.51,13,0,0
C00080,2026-07-01 00:00:00,455,149,1,254.85,254.85,11,0,0
C00081,2026-07-01 00:00:00,283,18,2,560.06,280.03,10,0,0
C00082,2026-07-01 00:00:00,335,121,7,2358.62,336.95,8,0,0
C00083,2026-07-01 00:00:00,335,72,3,359.75,119.92,20,0,0
C00084,2026-07-01 00:00:00,774,13,6,1315.73,219.29,14,0,1
C00085,2026-07-01 00:00:00,438,73,3,833.35,277.78,11,0,0
C00086,2026-07-01 00:00:00,673,3,6,2065.74,344.29,4,0,0
C00087,2026-07-01 00:00:00,631,58,2,468.14,234.07,14,0,1
C00088,2026-07-01 00:00:00,188,188,0,0.0,0,11,1,0
C00089,2026-07-01 00:00:00,638,101,3,1668.91,556.3,21,0,0
C00090,2026-07-01 00:00:00,623,9,7,1550.56,221.51,18,0,1
C00091,2026-07-01 00:00:00,319,122,1,400.02,400.02,13,0,0
C00092,2026-07-01 00:00:00,769,100,6,1778.44,296.41,13,0,0
C00093,2026-07-01 00:00:00,281,281,0,0.0,0,20,1,0
C00094,2026-07-01 00:00:00,666,212,6,1551.49,258.58,15,1,0
C00095,2026-07-01 00:00:00,855,301,2,178.3,89.15,19,1,0
C00096,2026-07-01 00:00:00,625,45,5,1354.45,270.89,4,0,0
C00097,2026-07-01 00:00:00,359,133,2,991.59,495.8,11,0,0
C00098,2026-07-01 00:00:00,451,3,4,1113.03,278.26,17,0,1
C00099,2026-07-01 00:00:00,597,5,7,2219.46,317.07,17,0,1
C00100,2026-07-01 00:00:00,826,380,3,604.02,201.34,19,1,0
C00101,2026-07-01 00:00:00,174,174,0,0.0,0,7,0,0
C00102,2026-07-01 00:00:00,586,1,4,1173.61,293.4,15,0,1
C00103,2026-07-01 00:00:00,665,16,2,1337.23,668.62,10,0,0
C00104,2026-07-01 00:00:00,285,194,2,605.34,302.67,12,1,0
C00105,2026-07-01 00:00:00,825,60,4,769.98,192.5,10,0,0
C00106,2026-07-01 00:00:00,249,249,0,0.0,0,17,1,0
C00107,2026-07-01 00:00:00,452,165,5,1121.78,224.36,8,0,0
C00108,2026-07-01 00:00:00,796,384,1,73.8,73.8,19,1,0
C00109,2026-07-01 00:00:00,484,4,7,2637.73,376.82,7,0,1
C00110,2026-07-01 00:00:00,519,205,4,482.93,120.73,17,1,0
C00111,2026-07-01 00:00:00,350,3,7,2543.8,363.4,11,0,1
C00112,2026-07-01 00:00:00,823,73,5,1423.83,284.77,11,0,0
C00113,2026-07-01 00:00:00,301,18,4,1415.58,353.89,9,0,0
C00114,2026-07-01 00:00:00,659,21,8,3085.21,385.65,9,0,1
C00115,2026-07-01 00:00:00,162,28,2,421.55,210.78,16,0,0
C00116,2026-07-01 00:00:00,416,103,1,196.45,196.45,8,0,0
C00117,2026-07-01 00:00:00,532,20,9,2430.93,270.1,19,0,1
C00118,2026-07-01 00:00:00,480,165,5,1103.25,220.65,18,0,0
C00119,2026-07-01 00:00:00,173,173,0,0.0,0,6,0,0
C00120,2026-07-01 00:00:00,291,36,3,841.71,280.57,15,0,1
C00121,2026-07-01 00:00:00,330,40,1,56.54,56.54,16,0,1
C00122,2026-07-01 00:00:00,756,86,11,3348.28,304.39,8,0,0
C00123,2026-07-01 00:00:00,662,15,4,1726.62,431.65,20,0,1
C00124,2026-07-01 00:00:00,637,60,6,1582.43,263.74,15,0,0
C00125,2026-07-01 00:00:00,222,42,2,650.64,325.32,12,0,0
C00126,2026-07-01 00:00:00,585,29,4,1036.15,259.04,16,0,1
C00127,2026-07-01 00:00:00,535,39,5,1748.93,349.79,15,0,1
C00128,2026-07-01 00:00:00,157,7,2,446.09,223.04,13,0,0
C00129,2026-07-01 00:00:00,836,260,4,2081.45,520.36,15,1,0
C00130,2026-07-01 00:00:00,450,3,5,1142.77,228.55,8,0,0
C00131,2026-07-01 00:00:00,498,358,3,926.25,308.75,14,1,0
C00132,2026-07-01 00:00:00,251,251,0,0.0,0,13,1,0
C00133,2026-07-01 00:00:00,693,41,8,2002.52,250.31,18,0,1
C00134,2026-07-01 00:00:00,355,168,5,1444.91,288.98,11,0,0
C00135,2026-07-01 00:00:00,640,156,5,1404.5,280.9,13,0,0
C00136,2026-07-01 00:00:00,335,335,0,0.0,0,8,1,0
C00137,2026-07-01 00:00:00,581,13,11,3932.02,357.46,16,0,1
C00138,2026-07-01 00:00:00,258,76,2,203.12,101.56,8,0,0
C00139,2026-07-01 00:00:00,286,18,3,737.16,245.72,11,0,1
C00140,2026-07-01 00:00:00,742,16,5,1360.17,272.03,13,0,1
C00141,2026-07-01 00:00:00,837,62,12,4130.23,344.19,10,0,0
C00142,2026-07-01 00:00:00,718,7,2,488.15,244.07,14,0,1
C00143,2026-07-01 00:00:00,614,226,3,832.51,277.5,10,1,0
C00144,2026-07-01 00:00:00,681,32,2,403.77,201.88,12,0,0
C00145,2026-07-01 00:00:00,326,163,4,624.53,156.13,13,0,0
C00146,2026-07-01 00:00:00,270,105,1,103.57,103.57,17,0,0
C00147,2026-07-01 00:00:00,316,316,0,0.0,0,9,1,0
C00148,2026-07-01 00:00:00,501,256,5,1410.21,282.04,14,1,0
C00149,2026-07-01 00:00:00,584,584,0,0.0,0,12,1,0
C00150,2026-07-01 00:00:00,376,48,5,929.03,185.81,10,0,1
C00151,2026-07-01 00:00:00,648,56,7,2259.88,322.84,12,0,0
C00152,2026-07-01 00:00:00,904,32,7,1971.47,281.64,12,0,0
C00153,2026-07-01 00:00:00,529,529,0,0.0,0,10,1,0
C00154,2026-07-01 00:00:00,854,28,5,1368.3,273.66,14,0,0
C00155,2026-07-01 00:00:00,259,259,0,0.0,0,17,1,0
C00156,2026-07-01 00:00:00,150,150,0,0.0,0,9,0,0
C00157,2026-07-01 00:00:00,857,15,21,6018.82,286.61,17,0,1
C00158,2026-07-01 00:00:00,698,74,5,1602.43,320.49,12,0,0
C00159,2026-07-01 00:00:00,271,46,4,606.35,151.59,17,0,1
C00160,2026-07-01 00:00:00,499,24,8,2355.67,294.46,10,0,0
C00161,2026-07-01 00:00:00,206,53,1,298.3,298.3,11,0,0
C00162,2026-07-01 00:00:00,623,429,2,298.78,149.39,18,1,0
C00163,2026-07-01 00:00:00,225,93,2,333.5,166.75,9,0,0
C00164,2026-07-01 00:00:00,872,230,9,3813.65,423.74,9,1,0
C00165,2026-07-01 00:00:00,445,249,1,112.29,112.29,10,1,0
C00166,2026-07-01 00:00:00,491,25,5,1613.59,322.72,21,0,1
C00167,2026-07-01 00:00:00,285,19,8,2182.88,272.86,14,0,1
C00168,2026-07-01 00:00:00,832,69,11,1621.64,147.42,9,0,0
C00169,2026-07-01 00:00:00,540,38,6,2372.25,395.38,17,0,1
C00170,2026-07-01 00:00:00,378,45,4,1270.04,317.51,12,0,0
C00171,2026-07-01 00:00:00,775,85,12,3019.34,251.61,12,0,0
C00172,2026-07-01 00:00:00,583,74,4,1272.04,318.01,10,0,0
C00173,2026-07-01 00:00:00,209,26,1,235.49,235.49,10,0,0
C00174,2026-07-01 00:00:00,764,110,4,1539.53,384.88,16,0,0
C00175,2026-07-01 00:00:00,200,200,0,0.0,0,11,1,0
C00176,2026-07-01 00:00:00,731,30,8,2077.31,259.66,17,0,1
C00177,2026-07-01 00:00:00,326,243,2,794.5,397.25,9,1,0
C00178,2026-07-01 00:00:00,142,16,1,248.85,248.85,9,0,0
C00179,2026-07-01 00:00:00,383,373,1,327.39,327.39,10,1,0
C00180,2026-07-01 00:00:00,153,91,1,289.31,289.31,5,0,0
C00181,2026-07-01 00:00:00,365,29,3,350.43,116.81,13,0,0
C00182,2026-07-01 00:00:00,512,91,7,1672.54,238.93,14,0,0
C00183,2026-07-01 00:00:00,560,52,4,848.93,212.23,9,0,0
C00184,2026-07-01 00:00:00,169,156,1,47.69,47.69,11,0,0
C00185,2026-07-01 00:00:00,474,6,13,2773.13,213.32,17,0,1
C00186,2026-07-01 00:00:00,291,23,3,471.98,157.33,5,0,1
C00187,2026-07-01 00:00:00,360,207,1,183.92,183.92,5,1,0
C00188,2026-07-01 00:00:00,769,100,5,944.5,188.9,8,0,0
C00189,2026-07-01 00:00:00,872,3,10,3179.51,317.95,12,0,1
C00190,2026-07-01 00:00:00,419,42,9,3708.93,412.1,9,0,0
C00191,2026-07-01 00:00:00,422,152,4,1108.2,277.05,10,0,0
C00192,2026-07-01 00:00:00,497,81,3,571.79,190.6,8,0,0
C00193,2026-07-01 00:00:00,237,34,2,690.25,345.12,11,0,1
C00194,2026-07-01 00:00:00,295,295,0,0.0,0,6,1,0
C00195,2026-07-01 00:00:00,827,278,4,1925.84,481.46,18,1,0
C00196,2026-07-01 00:00:00,630,209,4,1175.95,293.99,13,1,0
C00197,2026-07-01 00:00:00,747,43,10,3735.86,373.59,9,0,0
C00198,2026-07-01 00:00:00,685,110,5,1013.7,202.74,16,0,0
C00199,2026-07-01 00:00:00,382,30,4,766.0,191.5,11,0,0
C00200,2026-07-01 00:00:00,340,189,5,1737.85,347.57,11,1,0
