order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
OI0000104,O000069,P0001,1,16.55,1.33,15.22
OI0000105,O000069,P0027,1,233.63,48.65,184.98
OI0000106,O000070,P0048,1,164.37,37.09,127.28
OI0000107,O000071,P0062,2,282.36,132.45,432.27
OI0000108,O000072,P0060,1,341.05,49.06,291.99
OI0000109,O000072,P0039,1,339.4,94.85,244.55
OI0000110,O000073,P0001,1,16.55,1.23,15.32
OI0000111,O000073,P0019,1,139.59,15.52,124.07
OI0000112,O000073,P0040,1,81.1,18.23,62.87
OI0000113,O000074,P0010,1,63.63,17.29,46.34
OI0000114,O000074,P0005,1,103.03,27.16,75.87
OI0000115,O000074,P0013,2,296.26,103.3,489.22
OI0000116,O000075,P0013,1,296.26,86.34,209.92
OI0000117,O000076,P0058,1,207.22,36.01,171.21
OI0000118,O000077,P0021,1,46.15,8.38,37.77
OI0000119,O000077,P0010,1,63.63,11.23,52.4
OI0000120,O000078,P0021,1,46.15,6.23,39.92
OI0000121,O000079,P0013,1,296.26,55.7,240.56
OI0000122,O000079,P0054,1,77.63,14.68,62.95
OI0000123,O000080,P0069,1,139.74,37.04,102.7
OI0000124,O000081,P0019,2,139.59,35.52,243.66
OI0000125,O000082,P0056,1,225.89,27.02,198.87
OI0000126,O000082,P0027,1,233.63,42.85,190.78
OI0000127,O000083,P0049,1,33.06,4.12,28.94
OI0000128,O000084,P0056,1,225.89,47.66,178.23
OI0000129,O000085,P0074,1,239.64,56.47,183.17
OI0000130,O000085,P0024,1,192.47,43.88,148.59
OI0000131,O000086,P0012,1,100.32,22.68,77.64
OI0000132,O000087,P0077,2,233.33,28.18,438.48
OI0000133,O000088,P0020,2,240.66,59.89,421.43
OI0000134,O000088,P0059,2,315.43,150.32,480.54
OI0000135,O000089,P0065,1,144.28,23.35,120.93
OI0000136,O000090,P0047,1,77.86,21.7,56.16
OI0000137,O000091,P0017,1,131.8,19.43,112.37
OI0000138,O000091,P0071,1,31.93,4.4,27.53
OI0000139,O000092,P0017,1,131.8,33.84,97.96
OI0000140,O000093,P0035,1,148.6,28.19,120.41
OI0000141,O000094,P0012,1,100.32,12.64,87.68
OI0000142,O000095,P0074,1,239.64,29.13,210.51
OI0000143,O000096,P0039,1,339.4,56.59,282.81
OI0000144,O000097,P0059,1,315.43,56.17,259.26
OI0000145,O000098,P0070,1,185.81,28.85,156.96
OI0000146,O000098,P0032,1,302.0,41.64,260.36
OI0000147,O000099,P0057,1,199.83,45.07,154.76
OI0000148,O000099,P0007,1,340.81,86.83,253.98
OI0000149,O000100,P0069,1,139.74,22.66,117.08
OI0000150,O000100,P0060,2,341.05,89.95,592.15
OI0000151,O000101,P0043,2,263.81,33.94,493.68
OI0000152,O000102,P0066,1,240.4,58.22,182.18
OI0000153,O000103,P0014,1,99.57,20.85,78.72
OI0000154,O000104,P0062,1,282.36,57.2,225.16
OI0000155,O000105,P0071,2,31.93,2.74,61.12
OI0000156,O000105,P0024,1,192.47,23.7,168.77
OI0000157,O000106,P0036,1,28.73,1.75,26.98
OI0000158,O000107,P0047,1,77.86,8.87,68.99
OI0000159,O000108,P0024,1,192.47,28.2,164.27
OI0000160,O000109,P0039,1,339.4,18.62,320.78
OI0000161,O000109,P0055,1,39.57,5.38,34.19
OI0000162,O000109,P0018,1,302.5,70.34,232.16
OI0000163,O000110,P0012,1,100.32,8.7,91.62
OI0000164,O000110,P0044,1,27.45,0.0,27.45
OI0000165,O000111,P0046,1,219.83,24.02,195.81
OI0000166,O000111,P0057,1,199.83,21.71,178.12
OI0000167,O000112,P0058,2,207.22,108.72,305.72
OI0000168,O000113,P0069,1,139.74,12.12,127.62
OI0000169,O000113,P0025,1,14.66,2.07,12.59
OI0000170,O000113,P0004,1,209.53,42.02,167.51
OI0000171,O000114,P0078,1,287.9,57.12,230.78
OI0000172,O000114,P0006,1,130.77,14.2,116.57
OI0000173,O000115,P0028,1,337.81,86.35,251.46
OI0000174,O000116,P0056,1,225.89,40.36,185.53
OI0000175,O000116,P0079,1,58.4,11.14,47.26
OI0000176,O000117,P0061,1,309.44,48.59,260.85
OI0000177,O000118,P0045,1,146.09,0.55,145.54
OI0000178,O000119,P0080,1,163.75,24.71,139.04
OI0000179,O000119,P0070,1,185.81,12.77,173.04
OI0000180,O000119,P0016,1,262.79,44.56,218.23
OI0000181,O000120,P0032,1,302.0,28.98,273.02
OI0000182,O000121,P0016,1,262.79,64.24,198.55
OI0000183,O000121,P0033,1,192.42,25.49,166.93
OI0000184,O000122,P0030,1,84.85,15.81,69.04
OI0000185,O000123,P0065,1,144.28,17.43,126.85
OI0000186,O000124,P0033,1,192.42,36.12,156.3
OI0000187,O000125,P0027,1,233.63,45.35,188.28
OI0000188,O000126,P0032,1,302.0,14.83,287.17
OI0000189,O000127,P0018,1,302.5,45.46,257.04
OI0000190,O000128,P0024,1,192.47,15.83,176.64
OI0000191,O000129,P0060,1,341.05,23.35,317.7
OI0000192,O000130,P0039,1,339.4,13.54,325.86
OI0000193,O000131,P0047,2,77.86,7.57,148.15
OI0000194,O000132,P0018,1,302.5,31.59,270.91
OI0000195,O000133,P0042,1,60.94,3.66,57.28
OI0000196,O000133,P0016,1,262.79,42.06,220.73
OI0000197,O000134,P0022,1,340.39,30.34,310.05
OI0000198,O000135,P0055,1,39.57,7.55,32.02
OI0000199,O000136,P0004,1,209.53,60.9,148.63
OI0000200,O000137,P0071,1,31.93,2.29,29.64
OI0000201,O000138,P0039,1,339.4,33.09,306.31
OI0000202,O000139,P0027,1,233.63,27.47,206.16
OI0000203,O000139,P0027,1,233.63,15.32,218.31
OI0000204,O000140,P0043,2,263.81,99.17,428.45
OI0000205,O000141,P0013,2,296.26,141.55,450.97
OI0000206,O000142,P0057,1,199.83,56.45,143.38
OI0000207,O000142,P0056,2,225.89,89.91,361.87
OI0000208,O000143,P0054,1,77.63,16.2,61.43
OI0000209,O000144,P0062,1,282.36,37.28,245.08
OI0000210,O000145,P0057,2,199.83,54.78,344.88
OI0000211,O000146,P0073,1,246.45,47.64,198.81
OI0000212,O000146,P0073,1,246.45,44.18,202.27
OI0000213,O000147,P0023,1,295.85,54.06,241.79
OI0000214,O000148,P0009,1,344.95,39.7,305.25
OI0000215,O000148,P0067,1,69.07,9.21,59.86
OI0000216,O000149,P0051,1,217.19,25.09,192.1
OI0000217,O000149,P0048,1,164.37,10.99,153.38
OI0000218,O000149,P0009,2,344.95,118.7,571.2
OI0000219,O000150,P0044,1,27.45,5.66,21.79
OI0000220,O000151,P0050,2,308.71,79.44,537.98
OI0000221,O000152,P0048,1,164.37,17.05,147.32
OI0000222,O000153,P0015,1,143.31,20.43,122.88
OI0000223,O000154,P0054,1,77.63,3.89,73.74
OI0000224,O000155,P0068,1,126.22,11.45,114.77
OI0000225,O000156,P0006,1,130.77,11.68,119.09
OI0000226,O000157,P0016,1,262.79,21.19,241.6
OI0000227,O000158,P0062,1,282.36,9.45,272.91
OI0000228,O000159,P0032,2,302.0,73.85,530.15
OI0000229,O000159,P0020,1,240.66,6.51,234.15
OI0000230,O000159,P0024,1,192.47,27.79,164.68
OI0000231,O000160,P0071,1,31.93,2.38,29.55
OI0000232,O000161,P0029,1,348.34,36.59,311.75
OI0000233,O000162,P0004,3,209.53,28.73,599.86
OI0000234,O000162,P0015,1,143.31,0.0,143.31
OI0000235,O000162,P0042,1,60.94,4.21,56.73
OI0000236,O000163,P0036,1,28.73,3.7,25.03
OI0000237,O000163,P0076,1,159.09,25.2,133.89
OI0000238,O000164,P0022,1,340.39,18.25,322.14
OI0000239,O000165,P0049,1,33.06,3.75,29.31
OI0000240,O000165,P0015,1,143.31,26.13,117.18
OI0000241,O000166,P0024,3,192.47,58.35,519.06
OI0000242,O000166,P0056,1,225.89,13.18,212.71
OI0000243,O000167,P0042,1,60.94,5.37,55.57
OI0000244,O000168,P0025,1,14.66,1.07,13.59
OI0000245,O000169,P0040,1,81.1,13.92,67.18
OI0000246,O000170,P0034,1,284.16,22.55,261.61
OI0000247,O000171,P0042,1,60.94,3.83,57.11
OI0000248,O000172,P0055,1,39.57,2.75,36.82
OI0000249,O000173,P0010,2,63.63,5.8,121.46
OI0000250,O000173,P0039,1,339.4,24.12,315.28
OI0000251,O000174,P0061,1,309.44,16.6,292.84
OI0000252,O000175,P0021,1,46.15,4.02,42.13
OI0000253,O000176,P0042,2,60.94,7.84,114.04
OI0000254,O000177,P0022,1,340.39,15.84,324.55
OI0000255,O000177,P0035,1,148.6,5.84,142.76
OI0000256,O000178,P0013,1,296.26,9.1,287.16
OI0000257,O000178,P0054,2,77.63,12.67,142.59
OI0000258,O000179,P0003,1,199.95,22.62,177.33
OI0000259,O000179,P0041,1,98.7,15.2,83.5
OI0000260,O000179,P0043,1,263.81,0.0,263.81
OI0000261,O000180,P0022,1,340.39,7.97,332.42
OI0000262,O000181,P0057,1,199.83,34.35,165.48
OI0000263,O000182,P0010,2,63.63,15.27,111.99
OI0000264,O000183,P0031,1,10.46,0.48,9.98
OI0000265,O000183,P0075,2,111.93,0.0,223.86
OI0000266,O000184,P0033,1,192.42,29.0,163.42
OI0000267,O000184,P0031,1,10.46,0.94,9.52
OI0000268,O000184,P0010,2,63.63,5.09,122.17
OI0000269,O000185,P0055,2,39.57,9.12,70.02
OI0000270,O000186,P0024,1,192.47,0.0,192.47
OI0000271,O000186,P0018,1,302.5,25.17,277.33
OI0000272,O000187,P0057,2,199.83,46.42,353.24
OI0000273,O000187,P0017,1,131.8,15.46,116.34
OI0000274,O000188,P0045,1,146.09,0.0,146.09
OI0000275,O000189,P0008,1,205.45,0.0,205.45
OI0000276,O000189,P0054,1,77.63,13.57,64.06
OI0000277,O000190,P0023,1,295.85,14.73,281.12
OI0000278,O000191,P0030,1,84.85,11.14,73.71
OI0000279,O000192,P0040,2,81.1,18.47,143.73
OI0000280,O000193,P0034,1,284.16,48.84,235.32
OI0000281,O000194,P0023,2,295.85,43.42,548.28
OI0000282,O000194,P0067,2,69.07,16.31,121.83
OI0000283,O000194,P0017,1,131.8,17.29,114.51
OI0000284,O000195,P0040,2,81.1,13.8,148.4
OI0000285,O000195,P0037,1,55.94,8.41,47.53
OI0000286,O000195,P0025,1,14.66,1.47,13.19
OI0000287,O000196,P0025,1,14.66,0.0,14.66
OI0000288,O000197,P0025,1,14.66,3.27,11.39
OI0000289,O000198,P0024,1,192.47,30.78,161.69
OI0000290,O000198,P0056,2,225.89,44.86,406.92
OI0000291,O000199,P0014,1,99.57,16.73,82.84
OI0000292,O000200,P0004,1,209.53,37.33,172.2
OI0000293,O000200,P0025,1,14.66,1.76,12.9
OI0000294,O000201,P0028,2,337.81,77.57,598.05
OI0000295,O000202,P0056,1,225.89,17.66,208.23
OI0000296,O000203,P0061,1,309.44,52.24,257.2
OI0000297,O000203,P0056,1,225.89,19.85,206.04
OI0000298,O000204,P0077,1,233.33,21.98,211.35
OI0000299,O000204,P0056,1,225.89,34.41,191.48
OI0000300,O000204,P0039,2,339.4,59.82,618.98
OI0000301,O000205,P0056,1,225.89,21.35,204.54
OI0000302,O000206,P0027,2,233.63,54.7,412.56
OI0000303,O000206,P0056,2,225.89,50.9,400.88
OI0000304,O000207,P0028,1,337.81,71.77,266.04
OI0000305,O000207,P0078,1,287.9,30.68,257.22
OI0000306,O000207,P0056,1,225.89,17.95,207.94
OI0000307,O000208,P0079,1,58.4,10.02,48.38
OI0000308,O000209,P0008,2,205.45,59.25,351.65
OI0000309,O000209,P0013,2,296.26,122.15,470.37
OI0000310,O000210,P0008,1,205.45,11.74,193.71
OI0000311,O000211,P0066,2,240.4,69.96,410.84
OI0000312,O000212,P0067,1,69.07,9.19,59.88
OI0000313,O000213,P0054,1,77.63,9.83,67.8
OI0000314,O000214,P0021,2,46.15,7.28,85.02
OI0000315,O000215,P0021,1,46.15,8.82,37.33
OI0000316,O000215,P0054,1,77.63,6.63,71.0
OI0000317,O000216,P0004,3,209.53,79.31,549.28
OI0000318,O000217,P0018,1,302.5,46.35,256.15
OI0000319,O000217,P0043,1,263.81,39.99,223.82
OI0000320,O000218,P0057,1,199.83,44.0,155.83
OI0000321,O000218,P0079,1,58.4,5.77,52.63
OI0000322,O000219,P0031,1,10.46,1.33,9.13
OI0000323,O000219,P0020,1,240.66,12.49,228.17
OI0000324,O000219,P0030,1,84.85,14.38,70.47
OI0000325,O000220,P0013,1,296.26,81.07,215.19
OI0000326,O000221,P0067,1,69.07,7.78,61.29
OI0000327,O000221,P0012,1,100.32,13.39,86.93
OI0000328,O000221,P0014,1,99.57,5.46,94.11
OI0000329,O000222,P0077,3,233.33,125.57,574.42
OI0000330,O000222,P0054,1,77.63,1.97,75.66
OI0000331,O000222,P0061,2,309.44,82.28,536.6
OI0000332,O000223,P0060,1,341.05,31.02,310.03
OI0000333,O000224,P0045,1,146.09,18.53,127.56
OI0000334,O000224,P0045,1,146.09,6.56,139.53
OI0000335,O000225,P0076,1,159.09,26.64,132.45
OI0000336,O000226,P0077,2,233.33,45.64,421.02
OI0000337,O000227,P0079,1,58.4,6.58,51.82
OI0000338,O000228,P0013,1,296.26,37.82,258.44
OI0000339,O000229,P0061,1,309.44,13.94,295.5
OI0000340,O000230,P0025,1,14.66,1.53,13.13
OI0000341,O000230,P0064,1,127.58,13.84,113.74
OI0000342,O000231,P0058,1,207.22,5.67,201.55
OI0000343,O000231,P0021,1,46.15,5.19,40.96
OI0000344,O000231,P0010,1,63.63,8.78,54.85
OI0000345,O000232,P0044,1,27.45,4.71,22.74
OI0000346,O000232,P0044,1,27.45,2.17,25.28
OI0000347,O000232,P0056,1,225.89,5.47,220.42
OI0000348,O000233,P0040,1,81.1,7.34,73.76
OI0000349,O000233,P0042,1,60.94,11.36,49.58
OI0000350,O000234,P0077,1,233.33,25.71,207.62
OI0000351,O000235,P0024,2,192.47,16.61,368.33
OI0000352,O000235,P0024,1,192.47,24.75,167.72
OI0000353,O000236,P0040,1,81.1,20.83,60.27
OI0000354,O000237,P0005,1,103.03,15.37,87.66
OI0000355,O000238,P0016,1,262.79,51.18,211.61
OI0000356,O000238,P0016,1,262.79,29.5,233.29
OI0000357,O000239,P0005,1,103.03,12.0,91.03
OI0000358,O000239,P0005,1,103.03,22.4,80.63
OI0000359,O000240,P0039,1,339.4,13.14,326.26
OI0000360,O000241,P0012,1,100.32,18.75,81.57
OI0000361,O000241,P0073,1,246.45,31.4,215.05
OI0000362,O000241,P0074,1,239.64,28.38,211.26
OI0000363,O000242,P0006,1,130.77,24.39,106.38
OI0000364,O000243,P0044,1,27.45,0.0,27.45
OI0000365,O000244,P0005,2,103.03,43.5,162.56
OI0000366,O000245,P0056,1,225.89,50.0,175.89
OI0000367,O000245,P0024,2,192.47,44.94,340.0
OI0000368,O000246,P0077,3,233.33,169.45,530.54
OI0000369,O000246,P0024,1,192.47,46.57,145.9
OI0000370,O000247,P0067,2,69.07,37.19,100.95
OI0000371,O000247,P0047,1,77.86,16.91,60.95
OI0000372,O000248,P0078,1,287.9,66.22,221.68
OI0000373,O000249,P0025,2,14.66,6.27,23.05
OI0000374,O000250,P0077,1,233.33,60.76,172.57
OI0000375,O000250,P0036,1,28.73,5.09,23.64
OI0000376,O000250,P0056,1,225.89,47.04,178.85
OI0000377,O000251,P0024,2,192.47,29.61,355.33
OI0000378,O000252,P0075,1,111.93,11.47,100.46
OI0000379,O000253,P0007,1,340.81,27.82,312.99
OI0000380,O000254,P0003,1,199.95,38.25,161.7
OI0000381,O000255,P0039,2,339.4,41.7,637.1
OI0000382,O000255,P0070,1,185.81,23.93,161.88
OI0000383,O000256,P0004,1,209.53,14.6,194.93
OI0000384,O000257,P0056,1,225.89,27.74,198.15
OI0000385,O000257,P0027,1,233.63,22.05,211.58
OI0000386,O000258,P0023,1,295.85,20.09,275.76
OI0000387,O000259,P0034,1,284.16,42.26,241.9
OI0000388,O000259,P0034,2,284.16,0.0,568.32
OI0000389,O000260,P0040,1,81.1,4.63,76.47
OI0000390,O000261,P0033,1,192.42,20.33,172.09
OI0000391,O000262,P0003,1,199.95,25.72,174.23
OI0000392,O000263,P0051,2,217.19,74.89,359.49
OI0000393,O000263,P0048,2,164.37,69.37,259.37
OI0000394,O000264,P0008,1,205.45,29.96,175.49
OI0000395,O000264,P0058,3,207.22,122.99,498.67
OI0000396,O000264,P0009,1,344.95,67.24,277.71
OI0000397,O000265,P0076,1,159.09,11.05,148.04
OI0000398,O000265,P0016,1,262.79,39.26,223.53
OI0000399,O000265,P0030,2,84.85,50.12,119.58
OI0000400,O000266,P0066,1,240.4,35.61,204.79
OI0000401,O000267,P0061,1,309.44,27.42,282.02
OI0000402,O000268,P0074,1,239.64,29.91,209.73
OI0000403,O000269,P0061,1,309.44,19.84,289.6
OI0000404,O000270,P0043,2,263.81,42.87,484.75
OI0000405,O000271,P0075,1,111.93,18.9,93.03
OI0000406,O000272,P0051,1,217.19,10.95,206.24
OI0000407,O000273,P0059,1,315.43,42.77,272.66
OI0000408,O000273,P0055,1,39.57,0.0,39.57
OI0000409,O000274,P0004,1,209.53,26.47,183.06
OI0000410,O000275,P0076,1,159.09,13.84,145.25
OI0000411,O000275,P0004,2,209.53,91.56,327.5
OI0000412,O000276,P0007,1,340.81,87.27,253.54
OI0000413,O000277,P0056,1,225.89,39.71,186.18
OI0000414,O000278,P0025,1,14.66,3.81,10.85
OI0000415,O000279,P0034,1,284.16,43.12,241.04
OI0000416,O000280,P0025,1,14.66,2.87,11.79
OI0000417,O000281,P0015,1,143.31,26.19,117.12
OI0000418,O000282,P0024,1,192.47,17.16,175.31
OI0000419,O000283,P0068,2,126.22,35.17,217.27
OI0000420,O000283,P0053,3,261.91,0.0,785.73
OI0000421,O000283,P0014,1,99.57,10.97,88.6
OI0000422,O000284,P0068,1,126.22,15.24,110.98
OI0000423,O000285,P0068,1,126.22,23.64,102.58
OI0000424,O000285,P0014,1,99.57,18.05,81.52
OI0000425,O000285,P0073,1,246.45,79.09,167.36
OI0000426,O000286,P0014,1,99.57,22.11,77.46
OI0000427,O000287,P0065,1,144.28,25.62,118.66
OI0000428,O000288,P0028,1,337.81,59.48,278.33
OI0000429,O000289,P0022,1,340.39,68.21,272.18
OI0000430,O000290,P0060,1,341.05,46.03,295.02
OI0000431,O000291,P0018,1,302.5,58.47,244.03
OI0000432,O000292,P0014,1,99.57,20.81,78.76
OI0000433,O000292,P0029,2,348.34,30.05,666.63
OI0000434,O000293,P0041,2,98.7,32.17,165.23
OI0000435,O000293,P0074,1,239.64,37.09,202.55
OI0000436,O000294,P0040,1,81.1,10.85,70.25
OI0000437,O000294,P0017,1,131.8,25.53,106.27
OI0000438,O000295,P0057,1,199.83,30.22,169.61
OI0000439,O000295,P0071,1,31.93,6.92,25.01
OI0000440,O000296,P0005,2,103.03,31.14,174.92
OI0000441,O000297,P0009,2,344.95,219.65,470.25
OI0000442,O000298,P0065,1,144.28,29.11,115.17
OI0000443,O000299,P0047,1,77.86,11.41,66.45
OI0000444,O000300,P0020,1,240.66,28.34,212.32
OI0000445,O000300,P0003,1,199.95,23.86,176.09
OI0000446,O000301,P0046,1,219.83,33.59,186.24
OI0000447,O000302,P0059,1,315.43,31.16,284.27
OI0000448,O000302,P0046,2,219.83,81.43,358.23
OI0000449,O000302,P0055,1,39.57,6.52,33.05
OI0000450,O000303,P0043,1,263.81,36.93,226.88
OI0000451,O000304,P0055,1,39.57,6.91,32.66
OI0000452,O000305,P0020,1,240.66,35.17,205.49
OI0000453,O000306,P0044,1,27.45,1.35,26.1
OI0000454,O000306,P0056,1,225.89,28.17,197.72
OI0000455,O000307,P0017,1,131.8,4.62,127.18
OI0000456,O000307,P0014,1,99.57,8.03,91.54
OI0000457,O000308,P0059,2,315.43,104.44,526.42
OI0000458,O000309,P0053,1,261.91,41.76,220.15
OI0000459,O000310,P0013,1,296.26,36.84,259.42
OI0000460,O000311,P0035,2,148.6,34.33,262.87
OI0000461,O000311,P0035,1,148.6,11.41,137.19
OI0000462,O000312,P0010,1,63.63,12.82,50.81
OI0000463,O000313,P0054,1,77.63,9.66,67.97
OI0000464,O000314,P0005,2,103.03,28.35,177.71
OI0000465,O000315,P0061,3,309.44,51.65,876.67
OI0000466,O000315,P0013,1,296.26,39.95,256.31
OI0000467,O000315,P0076,2,159.09,58.43,259.75
OI0000468,O000316,P0015,1,143.31,14.65,128.66
OI0000469,O000317,P0036,1,28.73,3.86,24.87
OI0000470,O000317,P0064,2,127.58,26.31,228.85
OI0000471,O000317,P0063,1,138.83,9.39,129.44
OI0000472,O000318,P0056,1,225.89,34.0,191.89
OI0000473,O000318,P0014,1,99.57,17.42,82.15
OI0000474,O000319,P0047,2,77.86,19.33,136.39
OI0000475,O000320,P0052,1,326.66,38.6,288.06
OI0000476,O000320,P0038,1,159.55,7.17,152.38
OI0000477,O000321,P0005,1,103.03,2.13,100.9
OI0000478,O000321,P0067,1,69.07,17.76,51.31
OI0000479,O000322,P0047,2,77.86,19.63,136.09
OI0000480,O000322,P0023,2,295.85,41.21,550.49
OI0000481,O000323,P0015,1,143.31,15.08,128.23
OI0000482,O000324,P0055,1,39.57,5.54,34.03
OI0000483,O000324,P0055,1,39.57,5.52,34.05
OI0000484,O000325,P0023,1,295.85,53.39,242.46
OI0000485,O000325,P0022,2,340.39,191.7,489.08
OI0000486,O000326,P0052,1,326.66,78.42,248.24
OI0000487,O000327,P0077,3,233.33,94.9,605.09
OI0000488,O000327,P0077,1,233.33,29.2,204.13
OI0000489,O000328,P0029,1,348.34,27.12,321.22
OI0000490,O000328,P0022,1,340.39,38.59,301.8
OI0000491,O000329,P0022,1,340.39,66.81,273.58
OI0000492,O000330,P0069,1,139.74,9.96,129.78
OI0000493,O000331,P0016,1,262.79,25.72,237.07
OI0000494,O000332,P0061,1,309.44,62.51,246.93
OI0000495,O000333,P0067,1,69.07,7.07,62.0
OI0000496,O000333,P0051,1,217.19,5.13,212.06
OI0000497,O000334,P0030,1,84.85,12.74,72.11
